wavelength_nm,order,profile_slices,total_pattern_layers,grid,radial_mapping,double_mapping_effective_slope_min,double_mapping_effective_slope_max,double_mapping_central_slope_min,double_mapping_boundary_slope_min,double_mapping_minimum_radial_secant,double_mapping_minimum_jacobian,epsilon_gold_real,epsilon_gold_imag,epsilon_pmma,reflectance,transmittance,absorptance,passivity_warning,symmetry_reduction,symmetry_irrep,reduced_dimension,full_dimension,runtime_seconds
400.0,10,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-1.0611633694991678,4.9206873818569425,2.2201,0.005989735663460729,0.08816593261205896,0.9058443317244803,False,D6-E1-source-row,E1,111,882,12.971950113016646
550.0,10,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-5.371371338856619,2.3581635829859637,2.2201,0.012369861550435719,0.1258069818097878,0.8618231566397765,False,D6-E1-source-row,E1,111,882,11.108277802995872
700.0,10,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-13.754263491271207,1.9104862668338753,2.2201,0.2640188507843666,0.04351687244058408,0.6924642767750493,False,D6-E1-source-row,E1,111,882,10.899773353012279
400.0,12,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-1.0611633694991678,4.9206873818569425,2.2201,0.12766997329728327,0.12903505794771072,0.743294968755006,False,D6-E1-source-row,E1,157,1250,16.25703825103119
550.0,12,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-5.371371338856619,2.3581635829859637,2.2201,0.12042576802958882,0.08634184684512297,0.7932323851252883,False,D6-E1-source-row,E1,157,1250,16.2398403819534
700.0,12,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-13.754263491271207,1.9104862668338753,2.2201,0.439413441310997,0.018192933858277673,0.5423936248307253,False,D6-E1-source-row,E1,157,1250,16.11727141897427
400.0,14,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-1.0611633694991678,4.9206873818569425,2.2201,0.2877861579037797,0.16800418793404506,0.5442096541621753,False,D6-E1-source-row,E1,211,1682,22.53499292297056
550.0,14,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-5.371371338856619,2.3581635829859637,2.2201,0.5843611498670388,0.15518084713185176,0.26045800300110944,False,D6-E1-source-row,E1,211,1682,22.397414413979277
700.0,14,32,33,256,double,0.03,0.03,0.15040425567287555,0.17367187499999984,0.1583202691293427,0.004179812801347046,-13.754263491271207,1.9104862668338753,2.2201,0.5958764188090837,0.17667436381780272,0.22744921737311358,False,D6-E1-source-row,E1,211,1682,22.465805504005402
