wavelength_nm,order,profile_slices,total_pattern_layers,grid,epsilon_gold_real,epsilon_gold_imag,epsilon_pmma,reflectance,transmittance,absorptance,passivity_warning,symmetry_reduction,symmetry_irrep,reduced_dimension,full_dimension,runtime_seconds
400.0,10,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.011266070489926774,0.08593543181053355,0.9027984976995397,False,D6-E1-source-row,E1,111,882,12.629097832978005
550.0,10,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.0014911907980301954,0.3383344576705219,0.660174351531448,False,D6-E1-source-row,E1,111,882,11.078475362999598
700.0,10,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.33781063793804855,0.022990610258702998,0.6391987518032485,False,D6-E1-source-row,E1,111,882,10.98583360799239
400.0,12,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,1.135680812967114,0.08163154426159915,-0.21731235722871323,True,D6-E1-source-row,E1,157,1250,16.481860572006553
550.0,12,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.4016636958269662,0.0636678227366098,0.5346684814364241,False,D6-E1-source-row,E1,157,1250,16.342754626995884
700.0,12,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,3.2671167827993393,0.020840919708367822,-2.287957702507707,True,D6-E1-source-row,E1,157,1250,16.17784225702053
400.0,14,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,1.173805375975501,0.0882961779734243,-0.26210155394892526,True,D6-E1-source-row,E1,211,1682,22.7577345870086
550.0,14,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.4232917183665493,0.01657087065314389,0.5601374109803069,False,D6-E1-source-row,E1,211,1682,22.59923690400319
700.0,14,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.18338709161019826,0.017507668303217858,0.7991052400865839,False,D6-E1-source-row,E1,211,1682,22.597476319991983
400.0,16,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.22058907826516463,0.006369231097188125,0.7730416906376473,False,D6-E1-source-row,E1,273,2178,32.168871014000615
550.0,16,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,27.63726019169101,4.243712169828288,-30.880972361519298,True,D6-E1-source-row,E1,273,2178,31.543250113987597
700.0,16,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.8337834828681071,0.03836598335011975,0.12785053378177313,False,D6-E1-source-row,E1,273,2178,31.832824899000116
400.0,18,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.78993319608192,0.0016595771004114422,0.20840722681766852,False,D6-E1-source-row,E1,343,2738,42.43765477099805
550.0,18,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,1.7033186586936417,0.004963031313355838,-0.7082816900069976,True,D6-E1-source-row,E1,343,2738,42.4363067910017
700.0,18,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,0.8599747437611504,0.0019145097617837123,0.13811074647706595,False,D6-E1-source-row,E1,343,2738,42.433612074994016
400.0,20,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.7620894587596883,4.677332505391732e-06,0.23790586390780635,False,D6-E1-source-row,E1,421,3362,57.73196571698645
550.0,20,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,1.2787349735550457,3.4648631913234827e-09,-0.2787349770199089,True,D6-E1-source-row,E1,421,3362,57.57765581901185
700.0,20,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,1.4011651207017128,6.865181333975386e-11,-0.40116512077036465,True,D6-E1-source-row,E1,421,3362,57.69293937299517
400.0,22,32,33,256,-1.0611633694991678,4.9206873818569425,2.2201,0.8290022011217968,3.376131209332579e-08,0.1709977651168911,False,D6-E1-source-row,E1,507,4050,81.15984815199045
550.0,22,32,33,256,-5.371371338856619,2.3581635829859637,2.2201,0.8853226237138795,7.164188867994433e-25,0.11467737628612051,False,D6-E1-source-row,E1,507,4050,81.10460919499747
700.0,22,32,33,256,-13.754263491271207,1.9104862668338753,2.2201,1.2840945495984264,7.365835344086994e-216,-0.2840945495984264,True,D6-E1-source-row,E1,507,4050,81.76096997401328
