frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,26,26,2809,5618,256,256,redheffer,nvm,False,,136.8232520929996,0.10685154798914523,0.8945298958096991,-0.0013814437988443062,True,,False,,,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,28,28,3249,6498,256,256,redheffer,nvm,False,,249.59655906199987,0.11174273413614519,0.8658115823359135,0.022445683527941296,False,,False,,,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,30,30,3721,7442,256,256,redheffer,nvm,False,,438.7991330449986,0.10618482674428609,0.8942661195907019,-0.0004509463349879894,True,,False,,,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,convergence
