profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision
identity,matched coordinates (no ASR),619.5,11,529,1024,4.0,0.0,0.12640687033513018,0.8734400598308831,0.00015306983398666318,0.04622203049649475,0.7778269305364736,0.9998469301660133,,0.011858962778146465,110.95428530988283,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,14,841,1024,4.0,0.0,0.1265103367657976,0.8734023717809422,8.7291453260252e-05,0.046261036010044644,0.7777348969391282,0.9999127085467397,,0.011858962778146465,203.00629327795468,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,11,529,512,4.0,0.0,0.17676105423182645,0.9559845248749793,-0.13274557910680573,0.055855656577599194,0.8194482432328117,1.1327455791068057,,1.2302054877744335e-06,92.40722631802782,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,14,841,512,4.0,0.0,0.16974367348090402,0.9230532499775878,-0.09279692345849178,0.059054611788169356,0.7967999653220269,1.0927969234584918,,1.2302054877744335e-06,156.40440098801628,weiss2009-v1-fixed-interface-eq41
