frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,study
1.5,199.86163866666666,-225015.54575684966,651787.4187309261,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.48302779102232307,0.07874051687653932,0.9909675665716522,-0.06970808344819157,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.525,196.58521836065574,-224213.01589563605,638815.8636521411,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.6539471729774959,0.0675496105799823,1.0250399300204744,-0.09258954060045677,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.55,193.41448903225807,-223403.06710028165,626241.949221627,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.47565197199583054,0.060984885757925725,1.0363253203734326,-0.09731020613135832,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.5750000000000002,190.34441777777775,-222585.92167943862,614047.3534501144,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4471817020094022,0.05533160563576168,1.0542329517431765,-0.10956455737893822,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.6,187.37028625,-221761.80124483304,602214.8975801031,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.46363973297411576,0.056506543125297494,1.0384834059849983,-0.09498994911029579,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.625,184.48766646153848,-220930.92659518574,590728.457834585,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.501925120013766,0.0489042947535627,1.0876329691485767,-0.13653726390213938,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.65,181.6923987878788,-220093.51760337854,579572.8851971548,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.6377366639790125,0.05658931905319929,1.0374859562031649,-0.09407527525636417,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.675,178.98057194029852,-219249.79310691755,568733.9323845454,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.48142995295347646,0.05828762970803109,1.0242754483153331,-0.08256307802336427,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.7000000000000002,176.34850470588233,-218399.97080174298,558198.1872713143,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4881388869835064,0.06124860112140142,1.0047808219542447,-0.06602942307564608,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.725,173.79272927536232,-217544.26713942195,547953.0121122111,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,1.0923928639967926,0.059862675616603245,1.0456208473160848,-0.10548352293268803,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.75,171.309976,-216682.8972277602,537986.4879825427,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.49236086098244414,0.06806706942021978,0.9881985710067585,-0.056265640426978236,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.775,168.89715943661975,-215816.07473485853,528287.3639221523,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4564024930004962,0.062504340195396,1.0417221418457387,-0.10422648204113472,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.8,166.55136555555555,-214944.01179663406,518845.0103257643,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4385166990105063,0.06600035264674045,1.001676937497984,-0.06767729014472434,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.8250000000000002,164.26984,-214066.91892782133,509649.3761725423,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5178549959673546,0.07175153015885015,1.0013101216551044,-0.07306165181395452,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.85,162.0499772972973,-213185.0049364615,500690.9497317155,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5026561430422589,0.07650448474220499,0.9667486985174046,-0.043253183259609584,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.875,159.88931093333335,-212298.47684188263,491960.72241984284,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5162892549997196,0.07814123437745119,0.9631245077446006,-0.04126574212205181,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.9,157.78550421052634,-211407.539796168,483450.15551942895,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4695270390366204,0.08372621768855902,0.9637772081864047,-0.0475034258749637,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.925,155.7363418181818,-210512.3970091047,475151.14949874894,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5166555169853382,0.08144933809354891,0.9590655420003524,-0.04051488009390136,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.9500000000000002,153.73972205128203,-209613.24967659925,467056.0156994128,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4461518190219067,0.08441313274576566,0.9612267988023274,-0.04563993154809309,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
1.975,151.79364962025318,-208710.29691254167,459157.4501818273,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4452358979615383,0.08289171068428429,0.9089602418492838,0.00814804746643194,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.0,149.896229,-207803.73568409673,451448.5095396927,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.478095235012006,0.08448659910404256,0.9453366812628805,-0.029823280366923055,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.0250000000000004,148.0456582716049,-206893.76075039312,443922.5885133112,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5314666329650208,0.08806833157916973,0.9386402994794899,-0.026708631058659615,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.05,146.24022341463416,-205980.56460458122,436573.3992480839,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.46145497501129285,0.08975408768291726,0.9114103257996139,-0.001164413482531157,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.075,144.4782930120482,-205064.33741922182,429394.95205936866,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.44454922497970983,0.10683666697071698,0.9263541088891932,-0.03319077585991026,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.1,142.75831333333332,-204145.26699496925,422381.5375780936,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4859931729733944,0.08550343811331869,0.904190482437177,0.010306079449504235,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.125,141.0788037647059,-203223.5387125034,415527.7101633217,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.569223043974489,0.10278752268669863,0.889686884407352,0.007525592905949341,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.1500000000000004,139.4383525581395,-202299.3354876661,408828.2724785561,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4613719999906607,0.12010577465648155,0.8742601492485156,0.005634076095002882,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.175,137.83561287356324,-201372.8377297527,402278.26113804925,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.46082110999850556,0.11962673473523885,0.8607484492327365,0.019624816032024595,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.2,136.26929909090907,-200444.22330290527,395872.9333379002,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4583048649947159,0.12173196029078998,0.841465367199698,0.03680267250951197,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.225,134.73818337078652,-199513.6674905545,389607.75439437886,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5134396359790117,0.13245054130066267,0.8225769485177254,0.04497251018161186,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.25,133.24109244444446,-198581.34296285076,383478.3861188008,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.628890527994372,0.15366117736602092,0.8016559657351355,0.04468285689884355,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.2750000000000004,131.7769046153846,-197647.41974702687,377480.67596449325,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.46093888697214425,0.16274836396300027,0.7766273744566283,0.060624261580371375,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.3,130.34454695652175,-196712.06520062924,371610.64688698685,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4636444970383309,0.17351526302605008,0.7472038655076019,0.07928087146634799,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.325,128.94299268817204,-195775.44398755426,365864.48786362936,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4245839730137959,0.19066265093206203,0.715566412303994,0.09377093676394399,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.35,127.57125872340426,-194837.71805682516,360238.5450233998,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.9042489629937336,0.20716554012851687,0.6796259918149251,0.11320846805655804,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.375,126.22840336842106,-193899.04662404227,354729.31334183284,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.531295859022066,0.24756050185424885,0.6406737903710713,0.11176570777467987,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.4000000000000004,124.91352416666665,-192959.58615543804,349333.42885972786,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4669287379947491,0.2659523598783496,0.6207768061376062,0.11327083398404425,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.425,123.62575587628868,-192019.4903544686,344047.6613877204,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.45994705200428143,0.287351618624174,0.599008227956684,0.11364015341914202,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.45,122.36426857142857,-191078.91015087144,338868.90766188287,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5226925070164725,0.3442042763056875,0.5380556277288406,0.11774009596547186,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.475,121.12826585858586,-190137.99369211745,333794.1849183451,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.46556428098119795,0.398347832071702,0.49280867102790527,0.10884349690039274,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.5,119.9169832,-189196.88633718732,328820.62485747307,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4490498609957285,0.42469065769148484,0.45731393056095077,0.1179954117475644,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.5250000000000004,118.72968633663365,-188255.73065259864,323945.46797048725,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4643309009843506,0.439896949871719,0.4386820603702515,0.12142098975802951,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.55,117.56566980392158,-187314.6664106128,319166.0582035223,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5642686439678073,0.4711431052470552,0.42098212715786043,0.10787476759508441,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.575,116.42425553398058,-186373.83058954793,314479.837936071,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4381870820070617,0.4883098166716415,0.43679862065793373,0.07489156267042474,False,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.6,115.30479153846154,-185433.3573761262,309884.34325253527,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4768957869964652,0.5241977645665779,0.6615188977318763,-0.18571666229845418,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.625,114.20665066666668,-184493.3781697827,305377.1994872184,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4538860429893248,0.6030622164346588,0.8722521705393369,-0.47531438697399575,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.6500000000000004,113.12922943396225,-183554.02158886305,300956.11702458654,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5326650029746816,0.747537006226279,1.2331263922543618,-0.9806633984806409,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.675,112.07194691588786,-182615.4134786391,296618.88733798143,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4791789590381086,0.8896053578650521,1.931215028965299,-1.8208203868303512,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.7,111.0342437037037,-181677.67692106962,292363.37925121275,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4470428049680777,1.0739396794124232,2.8610628022458817,-2.935002481658305,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.725,110.0155809174312,-180740.9322462362,288187.53540860605,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.52366714598611,1.3450505688430863,4.830626733714938,-5.175677302558024,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.75,109.01543927272728,-179805.29704538308,284089.3689401276,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.554661758011207,1.4214351930383018,6.291116073725861,-6.712551266764162,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.7750000000000004,108.03331819819819,-178870.88618549224,280066.9603091753,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.514570500003174,1.4773462482699076,9.413006238092695,-9.890352486362602,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.8,107.068735,-177937.8118253239,276118.45433151425,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.43544547900091857,1.4610899366532337,11.883597173352582,-12.344687110005816,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.825,106.12122407079646,-177006.18343285483,272242.0573546465,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.43323819001670927,1.204234663917415,12.281492259995563,-12.485726923912978,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.85,105.19033614035088,-176076.1078040479,268436.034587666,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5275291400030255,0.9622390361976847,11.987937730170877,-11.950176766368562,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.875,104.2756375652174,-175147.68908288635,264698.70757233637,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4985572570003569,0.8118006102939503,11.881101529447154,-11.692902139741104,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.9000000000000004,103.3767096551724,-174221.02878260778,261028.45178677188,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4683767409878783,0.6605761962219703,11.19535959582596,-10.855935792047932,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.925,102.49314803418804,-173296.22580807505,257423.6943736969,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4560160139808431,0.6155847476126792,11.409161338599016,-11.024746086211696,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.95,101.6245620338983,-172373.37647921965,253882.91198579536,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4498193920007907,0.5281759176835638,10.583843515429454,-10.112019433113018,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
2.975,100.77057411764706,-171452.574555499,250404.6287411804,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.5389938949956559,0.5147048243772956,11.00512195771875,-10.519826782096045,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
3.0,99.93081933333333,-170533.91126130457,246987.41428246658,3.5,0.009,1.0,0.0,8,8,289,578,256,256,redheffer,False,outer,0.4447090959874913,0.5432623514519834,10.951370014205539,-10.494632365657523,True,,False,,,matched-primitive,square,62.0,62.0,1,outer-matched-ASR-FR,spectrum
