profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision
identity,matched coordinates (no ASR),619.5,1,9,48,4.0,0.0,0.09507586785296052,0.893946567735372,0.010977564411667529,0.9890224355883325,,0.2074074074074077,0.03331079985946417,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,2,25,48,4.0,0.0,0.10740035812491894,0.8882130843855939,0.004386557489487131,0.9956134425105128,,0.2074074074074077,0.05246479995548725,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,1,9,48,4.0,0.0,0.1310068984694853,0.8637701927017382,0.005222908828776518,0.9947770911712235,,7.839435731994042e-06,0.04264040011912584,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,2,25,48,4.0,0.0,0.12498918949644493,0.8620472883622372,0.012963522141317907,0.9870364778586821,,7.839435731994042e-06,0.062225899659097195,weiss2009-v1-fixed-interface-eq41
