profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision,R_y,T_y,A_y,balance_y
identity,matched coordinates (no ASR),370.0,1,9,48,-33.6814911003288,1.2680462516358566,0.04694516056185149,0.9507803442540762,0.0022744951840723004,0.9977255048159277,2.6645352591003757e-15,0.27452389507725283,0.03806849988177419,weiss2009-v1-fixed-interface-eq41,0.046945160561852294,0.9507803442540735,0.002274495184074188,0.9977255048159258
identity,matched coordinates (no ASR),370.0,2,25,48,-33.6814911003288,1.2680462516358566,0.7502503101611444,0.05119817180509839,0.1985515180337572,0.8014484819662429,3.594347042223944e-15,0.27452389507725283,0.04952750029042363,weiss2009-v1-fixed-interface-eq41,0.750250310161146,0.051198171805101986,0.19855151803375204,0.801448481966248
weiss2009,matched coordinates + ASR,370.0,1,9,48,-33.6814911003288,1.2680462516358566,0.3245739999958881,0.700884112033296,-0.025458112029184132,1.0254581120291841,5.551115123125783e-16,1.3037295190356998e-05,0.032557500060647726,weiss2009-v1-fixed-interface-eq41,0.3245739999958861,0.7008841120332955,-0.02545811202918158,1.0254581120291815
weiss2009,matched coordinates + ASR,370.0,2,25,48,-33.6814911003288,1.2680462516358566,0.8512667858335249,0.054606508263911537,0.09412670590256358,0.9058732940974364,4.579669976578771e-16,1.3037295190356998e-05,0.05076140025630593,weiss2009-v1-fixed-interface-eq41,0.8512667858335257,0.05460650826391108,0.09412670590256325,0.9058732940974368
