profile,label,order,harmonics,grid,beta_um_inv,beta_reference_um_inv,relative_error,selected_kz_imag,minimum_jacobian,elapsed_s,revision
identity,matched coordinates (no ASR),1,9,48,23.45654488416359,25.562067938661734,0.0823690422680402,4.615394154086967e-18,0.2074074074074077,0.04001190001145005,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),2,25,48,25.47281213479105,25.562067938661734,0.0034917286068115727,2.6514920018980674e-17,0.2074074074074077,0.05525830015540123,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,1,9,48,23.87816077812931,25.562067938661734,0.06587523218282254,1.9183315160732763e-17,7.839435731994042e-06,0.03080640034750104,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,2,25,48,25.32930955617992,25.562067938661734,0.009105616299915131,1.478612343502101e-17,7.839435731994042e-06,0.05355089996010065,weiss2009-v1-fixed-interface-eq41
