frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,staircase_grid,asr_interval_allocation,nv_boundary_samples,nv_neighbors,nv_power,nv_coordinate_rule,asr_interface_rule,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,scattering_output,redheffer_computed,symmetry_applied,symmetry,irrep,symmetry_invariance_residual,symmetry_magnetic_residual,symmetry_magnetic_modes_projected,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,44,44,7921,15842,256,256,algo2a,nvm,True,,,,,,,,,56.66367606597487,0.10615945552066629,0.8914571074808355,0.0023834369984981896,False,3961,incident-source-vectors,False,True,c2v,,4.599204284802697e-09,1.2120461045899375e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,46,46,8649,17298,256,256,algo2a,nvm,True,,,,,,,,,49.92812936101109,0.1105278443533515,0.877187613196191,0.012284542450457514,False,4325,incident-source-vectors,False,True,c2v,,4.9852940422809225e-09,1.1313235640192349e-07,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,convergence
