mode,kz_real,kz_imag,pq_relative_residual,forward_uv_flux,forward_cartesian_flux
0,-6.900995457984637e-14,136.56641915656462,7.99374668553122e-15,-7.549189236571587e-16,-3.61500153868006e-19
1,-7.588011216257056e-15,123.92162738742509,4.8392269872277914e-15,-7.1504125878493505e-16,-2.3077379631604796e-19
2,5.828741028740658e-13,129.46645763387735,4.599451720126966e-15,-2.911983335025629e-16,-4.583904082523858e-20
3,-6.403687597467233e-13,129.4664576338657,6.0921048595953755e-15,-1.1705230883819534e-15,-6.209239539935428e-19
4,2.175624930518616e-13,118.39561067067058,2.405762519644455e-14,-1.1678643054617647e-15,-2.5723919819869297e-18
5,1.9033342510866746e-13,117.81378745028843,2.188555589656444e-14,-4.214354826758099e-15,1.2297624289851551e-19
6,1.2167003064583644e-13,103.86228474799502,2.5877097128216748e-14,-2.4453391401277033e-15,2.4674056347537056e-18
7,1.4482207574543498e-13,103.92685964436238,2.014083289454946e-14,-1.7581968836388446e-15,5.540584811910202e-19
8,3.770762545635365e-13,111.16957970115105,2.666135698316972e-14,1.2047024348146168e-14,-1.7969443656125154e-16
9,-5.617638430602539e-14,111.16957970114926,2.5863036984775365e-14,-8.94512193266514e-15,1.168885532158172e-16
10,2.0352479754943752e-13,110.75641924523383,2.647885836185588e-14,-3.93348548177741e-15,-1.1052340005658287e-16
11,1.543390668409997e-13,110.75641924523406,2.711134662788374e-14,-4.608726594801382e-15,-4.1582117930134485e-17
12,6.877700202964289e-14,94.55623083664143,7.766292826024859e-15,-3.222605224228663e-16,6.454922731341795e-20
13,2.7201613451057874e-14,96.02480520379267,8.980068603344935e-15,-2.837814248336228e-16,1.1291748879521224e-19
14,-9.093207871680132e-14,95.77738380551507,1.0136195862846051e-14,-4.3804806499112654e-16,2.791448673067255e-19
15,1.5473263276035326e-13,95.77738380551871,8.575309612634103e-15,-1.8944222737587448e-16,3.860270973025984e-20
16,5.6000743970164466e-14,58.984737007159225,1.1829245802929842e-14,-4.243763725952013e-16,-8.91702449174913e-19
17,5.471650006983965e-14,57.632062322086014,1.2134974916605243e-14,-3.8972819629840564e-16,-9.999248139069693e-19
18,1.6561566877379792e-14,58.46422441563412,1.35115843550565e-14,-3.2360724343261094e-16,-9.500003899049012e-20
19,8.14698949404698e-14,58.464224415634675,1.1736310872655258e-14,-3.9767180434052696e-16,-8.390126040349862e-19
20,2.660270678005936e-14,52.64510644795816,3.7432982293409623e-14,-1.339511571993947e-15,-4.9278391858700425e-18
21,3.8244991600747796e-14,52.58010886527294,2.2340388258980254e-14,-1.4671268319671e-15,-3.1835895811065416e-18
22,1.462807261611147e-14,51.638768633939634,3.3659897823944943e-14,-1.8016449276946284e-16,-7.021451096731759e-19
23,2.5709998772082385e-14,50.87849267833529,3.026038982208973e-14,-6.785682584407871e-16,1.847549058644468e-16
24,1.4412703966140362e-14,50.87849267833542,2.823259040893604e-14,-1.8464640623785944e-15,1.4578971740067815e-15
25,7.086417545419607e-14,50.853374241004495,3.3521165631818986e-14,-2.588207426157396e-15,-6.629829580904263e-16
26,-1.4405588491953036e-14,50.85337424100448,3.412767535677179e-14,1.959803846984798e-15,9.36591434833392e-16
27,-1.375064768607382e-14,48.54135832262076,3.607393738498204e-14,-1.5358011192699296e-16,-9.899368160104394e-19
28,2.4358608309188072e-14,48.20417478429474,3.3422476004062596e-14,-1.275494160838495e-15,-3.531113244236844e-18
29,1.3631439671050706e-14,48.120540401583796,3.759869829299668e-14,-6.62877527543681e-16,3.30685616306731e-18
30,-5.847479349122799e-14,49.916364941541644,2.4431615871763174e-14,-2.5307670912143177e-16,-1.406526617399928e-18
31,6.955845302396783e-14,49.91636494154275,2.84413003329882e-14,-1.0742241243668488e-16,-4.760542298479963e-19
32,3.46197129623069e-14,47.595991010938164,5.085587885519348e-14,-1.9793115335097612e-15,-1.240317711208951e-18
33,2.3987794302882195e-14,47.47035686885617,4.239646211559086e-14,-7.984052309315317e-16,-6.2855962497187824e-18
34,-2.286970785290565e-14,45.25773314362097,2.92276325770121e-14,-1.9332957479458773e-16,-7.339323279759591e-19
35,3.217240472094047e-14,44.23137440698497,2.3921928205456596e-14,-1.8669396663719606e-16,-9.05461165173473e-19
36,-1.2336189376089983e-14,43.5481587857822,3.245922362243234e-14,-1.605647691819602e-16,-4.583651961844025e-19
37,1.2471006022872522e-14,44.024076961327715,3.15854980231402e-14,-8.516663793149344e-16,-1.9238340487291528e-17
38,2.2191935703852055e-14,43.91646410549686,2.7284115909056302e-14,-9.698766335113604e-16,-3.050453076162797e-18
39,3.280854458524694e-14,45.10595436945305,4.7755480082291006e-14,7.879671041281586e-16,-1.451026062568371e-17
40,2.1076658375726137e-14,41.709399458143245,2.8102441516133023e-14,-1.468318041354712e-16,-3.7843212735561085e-19
41,-2.7619431320518366e-15,45.105954369452625,4.376890001026102e-14,-1.957892940655792e-15,-4.309333058715456e-18
42,-5.220096301281583e-14,44.56077849062468,3.221476792472442e-14,-2.803492708163338e-16,1.260775454763524e-18
43,4.2306482557714e-14,44.56077849062548,3.05570463865349e-14,-6.586274087965263e-17,-1.2125210465496305e-17
44,7.261939965387802e-14,44.950415360333515,3.711126616231033e-14,-3.191891195797325e-15,2.1511248728470211e-16
45,-2.2714413554371448e-14,44.95041536033351,3.816146455133792e-14,1.7234477733829578e-15,-2.389759465076975e-16
46,4.065286907196462e-14,42.819052405336606,2.82656652918811e-14,-1.3278766107516216e-16,-8.764673421713873e-19
47,-2.6219107735359025e-15,42.81905240533644,2.5932778809103295e-14,-1.7081605227509122e-16,-3.74767080534705e-18
48,1.049841942513479e-14,37.06062076281272,5.648845904173531e-14,-1.3690280896246953e-16,-8.086582795456788e-19
49,1.021369052775156e-14,36.055495204495806,5.694382177734038e-14,-1.1083444672980434e-16,-6.225007606910873e-19
50,-1.8354076898799035e-14,36.32157960766461,5.631607839687568e-14,-1.8006056986142466e-16,-1.9447347073366702e-19
51,3.4484098487273394e-14,36.32157960766507,5.0241704014590334e-14,-4.1785829353949144e-17,5.940347938212815e-19
52,1.7792417875630448e-14,35.21009124271634,5.98136987121906e-14,-1.179881432961872e-15,-4.005232712852974e-18
53,2.5561204402566838e-14,35.142141597128216,6.25959922519068e-14,-1.3027625751563592e-15,-1.6141528727094836e-17
54,9.701342984035303e-15,34.24684980298262,6.354398050594433e-14,-6.922679049398098e-16,-5.390846838768602e-19
55,9.637675771412365e-15,34.0220972639104,5.655742181516407e-14,-2.789733032773519e-16,-4.578301460861688e-18
56,1.7572887017120704e-14,34.77565329208193,5.84445138990263e-14,-8.598536379439414e-16,-4.889392470651532e-17
57,9.851140820870598e-15,34.77565329208224,5.5816225906176355e-14,-5.284943489780591e-16,2.7906745850423185e-16
58,9.841086909870941e-15,34.74016183687811,5.5211002641956326e-14,-5.061597842248577e-16,-1.3658637885047108e-16
59,1.7554952419972213e-14,34.74016183687815,5.812655113407593e-14,-7.550383929189053e-16,1.8191938366417422e-17
60,9.598032326527503e-15,33.88215137137997,3.9683006618709694e-14,-8.967177748521405e-17,-3.5208995465763113e-19
61,1.7005467488935096e-14,33.65276524505159,3.843086886841158e-14,-7.656313440916658e-17,-1.77314966965501e-18
62,1.69819801891335e-14,33.60628533575315,4.419069326026403e-14,-4.788107844239109e-17,4.496057501470727e-18
63,1.6981980189133555e-14,33.60628533575326,5.48247152341214e-14,-3.508749280706214e-17,5.584627187590511e-19
64,1.6525351487352718e-14,32.70264546139039,5.2078885504249454e-14,-1.0906398369669826e-16,-9.557581559281702e-19
65,9.132647664379102e-15,32.23929031065509,6.918015669528348e-14,-4.83252275034969e-16,-4.774577433411878e-18
66,9.118790963711089e-15,32.19037457318212,6.892314243891735e-14,-8.172293132989692e-16,-1.7391234803050457e-17
67,8.88581429105228e-15,31.367940284519737,5.660177396820072e-14,-1.984396842558388e-17,-2.1220787072008277e-18
68,8.959654897762175e-15,31.628606067753697,5.537533578853977e-14,-3.0479096744647677e-16,-1.4302170760603242e-18
69,8.961007358750102e-15,31.633380409656073,6.185954491604238e-14,-4.776272184239809e-16,-3.936981949456436e-18
70,5.886102069525008e-14,32.03165394989246,5.3389289158307485e-14,3.709868783702275e-16,-3.564738158519723e-18
71,-4.46361088024517e-14,32.03165394989245,5.921026174563632e-14,-6.217899459204368e-16,-5.992334585350548e-18
72,1.6108743503022384e-14,31.878204104220693,6.476712573467883e-14,-7.902851279200512e-16,-4.400148556423163e-17
73,9.03036026698111e-15,31.878204104220412,7.2036091804878e-14,-8.279984228636017e-16,-5.44421824169331e-18
74,1.6036367914445953e-14,31.734977304168304,5.994474424003815e-14,1.588356182691264e-17,-1.607154358419899e-17
75,8.989787416637036e-15,31.73497730416819,6.329923662367775e-14,-5.502868126450178e-16,-7.619934863279288e-18
