profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision
weiss2009,matched coordinates + ASR,250.0,12,625,256,-74.84580150485934,4.104219635570127,0.05703013125175087,0.9368366583693425,0.006133210378906684,0.05703013125175087,0.9368366583693425,0.9938667896210933,,5.101560566760088e-06,108.52989971102215,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,255.0,12,625,256,-71.90888248642186,3.8679363476733855,0.061942668477584666,0.9313967420792942,0.00666058944312109,0.061942668477584666,0.9313967420792942,0.9933394105568789,,5.101560566760088e-06,121.67795493686572,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,260.0,12,625,256,-69.1391564362172,3.6494401667122083,0.06739109133318132,0.9254874913325336,0.007121417334285063,0.06739109133318132,0.9254874913325336,0.9928785826657149,,5.101560566760088e-06,107.28994569391944,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,265.0,12,625,256,-66.52418007180063,3.4470890494928956,0.07347440770903912,0.9188296067074924,0.007695985583468512,0.07347440770903912,0.9188296067074924,0.9923040144165315,,5.101560566760088e-06,123.18362262099981,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,270.0,12,625,256,-64.05264560350643,3.259419478760299,0.08025188431854677,0.9114558552959483,0.008292260385504902,0.08025188431854677,0.9114558552959483,0.9917077396144951,,5.101560566760088e-06,117.22489297692664,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,275.0,12,625,256,-61.71425872296463,3.085124231413913,0.08787650873737278,0.9032161723882328,0.008907318874394443,0.08787650873737278,0.9032161723882328,0.9910926811256056,,5.101560566760088e-06,107.48502347804606,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,280.0,12,625,256,-59.49963160595262,2.9230332541168287,0.09648799998729521,0.8939114161582855,0.009600583854419309,0.09648799998729521,0.8939114161582855,0.9903994161455807,,5.101560566760088e-06,109.99736893409863,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,285.0,12,625,256,-57.40018885611894,2.7720971662662515,0.10625939734793462,0.8834040291305287,0.010336573521536607,0.10625939734793462,0.8834040291305287,0.9896634264784634,,5.101560566760088e-06,113.68116000015289,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,290.0,12,625,256,-55.408084632546576,2.6313729912666903,0.11741541136348087,0.8713261270839479,0.011258461552571264,0.11741541136348087,0.8713261270839479,0.9887415384474287,,5.101560566760088e-06,112.05147550604306,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,295.0,12,625,256,-53.51612946782888,2.500011783249593,0.13017367342640015,0.8574635368680174,0.012362789705582466,0.13017367342640015,0.8574635368680174,0.9876372102944175,,5.101560566760088e-06,107.05978293088265,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,300.0,12,625,256,-51.71772550381517,2.3772478707065945,0.14489888939429657,0.8415845370230306,0.013516573582672775,0.14489888939429657,0.8415845370230306,0.9864834264173272,,5.101560566760088e-06,107.5306757481303,weiss2009-v1-fixed-interface-eq41
