profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision,R_y,T_y,A_y,R0_y,T0_y,balance_y
identity,matched coordinates (no ASR),370.0,6,169,1024,-33.6814911003288,1.2680462516358566,0.7455422342180935,0.02255676201139004,0.23190100377051645,0.7455422342180935,0.02255676201139004,0.7680989962294835,3.2751579226442118e-15,0.00819916908544327,11.800986595917493,weiss2009-v1-fixed-interface-eq41,0.7455422342180624,0.022556762011393314,0.23190100377054426,0.7455422342180624,0.022556762011393314,0.7680989962294558
identity,matched coordinates (no ASR),370.0,7,225,1024,-33.6814911003288,1.2680462516358566,0.8649343119685936,0.004962071875681263,0.13010361615572513,0.8649343119685936,0.004962071875681263,0.8698963838442749,9.992007221626409e-16,0.00819916908544327,13.800938716856763,weiss2009-v1-fixed-interface-eq41,0.8649343119685703,0.004962071875682262,0.13010361615574745,0.8649343119685703,0.004962071875682262,0.8698963838442526
identity,matched coordinates (no ASR),370.0,8,289,1024,-33.6814911003288,1.2680462516358566,0.9162859167445794,0.0078024229610260095,0.07591166029439461,0.9162859167445794,0.0078024229610260095,0.9240883397056053,3.4009253746525303e-15,0.00819916908544327,51.37566181202419,weiss2009-v1-fixed-interface-eq41,0.916285916744504,0.00780242296102941,0.0759116602944666,0.916285916744504,0.00780242296102941,0.9240883397055334
identity,matched coordinates (no ASR),370.0,9,361,1024,-33.6814911003288,1.2680462516358566,0.6449859060725814,0.035156844925365666,0.3198572490020529,0.6449859060725814,0.035156844925365666,0.6801427509979471,3.069766663088558e-14,0.00819916908544327,69.97178546478972,weiss2009-v1-fixed-interface-eq41,0.6449859060725741,0.03515684492533497,0.3198572490020909,0.6449859060725741,0.03515684492533497,0.6801427509979091
identity,matched coordinates (no ASR),370.0,10,441,1024,-33.6814911003288,1.2680462516358566,0.8854375425310667,0.003928839960030222,0.11063361750890312,0.8854375425310667,0.003928839960030222,0.8893663824910969,4.0462425077159025e-15,0.00819916908544327,88.64490907103755,weiss2009-v1-fixed-interface-eq41,0.8854375425310085,0.003928839960034268,0.11063361750895725,0.8854375425310085,0.003928839960034268,0.8893663824910427
identity,matched coordinates (no ASR),370.0,11,529,1024,-33.6814911003288,1.2680462516358566,0.8941242583169557,0.004768954105942742,0.10110678757710151,0.8941242583169557,0.004768954105942742,0.8988932124228984,2.6281060661048627e-16,0.00819916908544327,110.40222154185176,weiss2009-v1-fixed-interface-eq41,0.8941242583168973,0.004768954105943005,0.10110678757715964,0.8941242583168973,0.004768954105943005,0.8988932124228404
identity,matched coordinates (no ASR),370.0,12,625,1024,-33.6814911003288,1.2680462516358566,0.8758246092757773,0.007234957468223341,0.11694043325599934,0.8758246092757773,0.007234957468223341,0.8830595667440007,2.4250566832417775e-14,0.00819916908544327,132.80128519493155,weiss2009-v1-fixed-interface-eq41,0.8758246092757035,0.007234957468247592,0.11694043325604891,0.8758246092757035,0.007234957468247592,0.883059566743951
identity,matched coordinates (no ASR),370.0,13,729,1024,-33.6814911003288,1.2680462516358566,0.8845227619651412,0.003497225976259795,0.11198001205859898,0.8845227619651412,0.003497225976259795,0.888019987941401,4.718014173787921e-15,0.00819916908544327,163.28889091615565,weiss2009-v1-fixed-interface-eq41,0.8845227619651683,0.003497225976255077,0.11198001205857659,0.8845227619651683,0.003497225976255077,0.8880199879414234
identity,matched coordinates (no ASR),370.0,14,841,1024,-33.6814911003288,1.2680462516358566,0.9010113617656518,0.003340988575640197,0.09564764965870803,0.9010113617656518,0.003340988575640197,0.904352350341292,8.332744216854593e-15,0.00819916908544327,200.35927160992287,weiss2009-v1-fixed-interface-eq41,0.9010113617654747,0.0033409885756318643,0.09564764965889344,0.9010113617654747,0.0033409885756318643,0.9043523503411065
identity,matched coordinates (no ASR),370.0,15,961,1024,-33.6814911003288,1.2680462516358566,0.8398157068116129,0.008856056325073833,0.1513282368633133,0.8398157068116129,0.008856056325073833,0.8486717631366867,6.192962809237201e-15,0.00819916908544327,230.66995910694823,weiss2009-v1-fixed-interface-eq41,0.8398157068113333,0.00885605632506764,0.15132823686359903,0.8398157068113333,0.00885605632506764,0.8486717631364009
