frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,staircase_grid,asr_interval_allocation,nv_boundary_samples,nv_neighbors,nv_power,nv_coordinate_rule,asr_interface_rule,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,symmetry_invariance_residual,symmetry_magnetic_residual,symmetry_magnetic_modes_projected,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,port_basis,minimum_mapping_jacobian,effective_radial_slope,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,8,8,289,578,256,256,redheffer,paper-asr,True,,64,cube-root,,,,,shared-adaptive,13.847743408055976,0.11475338403023205,0.8188928819836443,0.06635373398612365,False,145,True,C2v,,2.1992982913028297e-10,2.0772666905954672e-10,,auto,peng-stepped-asr-primitive,square,62.0,62.0,1,Peng-Eq7-Jacobian-weighted-strip-Li,peng-eq7-covariant-asr-li,generalized-adaptive-homogeneous-modes,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,12,12,625,1250,256,256,redheffer,paper-asr,True,,64,cube-root,,,,,shared-adaptive,0.3964442810975015,0.12461775943194772,0.7981299149955068,0.07725232557254547,False,313,True,C2v,,6.518704871369791e-10,3.6452874424289583e-10,,auto,peng-stepped-asr-primitive,square,62.0,62.0,1,Peng-Eq7-Jacobian-weighted-strip-Li,peng-eq7-covariant-asr-li,generalized-adaptive-homogeneous-modes,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,16,16,1089,2178,256,256,redheffer,paper-asr,True,,64,cube-root,,,,,shared-adaptive,0.5767047430854291,0.10850155330991346,0.8498716205289786,0.04162682616110802,False,545,True,C2v,,1.0258269315031044e-09,4.807844274138089e-10,,auto,peng-stepped-asr-primitive,square,62.0,62.0,1,Peng-Eq7-Jacobian-weighted-strip-Li,peng-eq7-covariant-asr-li,generalized-adaptive-homogeneous-modes,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,20,20,1681,3362,256,256,redheffer,paper-asr,True,,64,cube-root,,,,,shared-adaptive,0.8466627899324521,0.11083040194115108,0.8414405761702585,0.047729021888590406,False,841,True,C2v,,1.5927256653557674e-09,6.425104722692239e-10,,auto,peng-stepped-asr-primitive,square,62.0,62.0,1,Peng-Eq7-Jacobian-weighted-strip-Li,peng-eq7-covariant-asr-li,generalized-adaptive-homogeneous-modes,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,24,24,2401,4802,256,256,redheffer,paper-asr,True,,64,cube-root,,,,,shared-adaptive,1.8940196660114452,0.11915049612561494,0.8126030900538647,0.06824641382052044,False,1201,True,C2v,,3.5351599475480365e-09,7.382940220899933e-10,,auto,peng-stepped-asr-primitive,square,62.0,62.0,1,Peng-Eq7-Jacobian-weighted-strip-Li,peng-eq7-covariant-asr-li,generalized-adaptive-homogeneous-modes,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,28,28,3249,6498,256,256,redheffer,paper-asr,True,,64,cube-root,,,,,shared-adaptive,3.8761963229626417,0.11082927677093264,0.8448342611135031,0.04433646211556419,False,1625,True,C2v,,4.474101464106107e-09,8.714972430820425e-10,,auto,peng-stepped-asr-primitive,square,62.0,62.0,1,Peng-Eq7-Jacobian-weighted-strip-Li,peng-eq7-covariant-asr-li,generalized-adaptive-homogeneous-modes,1.0000000000002238e-06,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,32,32,4225,8450,256,256,redheffer,paper-asr,True,,64,cube-root,,,,,shared-adaptive,6.466996900970116,0.11247114140553818,0.8370662118977426,0.05046264669671929,False,2113,True,C2v,,5.611801544794288e-09,1.026269818215008e-09,,auto,peng-stepped-asr-primitive,square,62.0,62.0,1,Peng-Eq7-Jacobian-weighted-strip-Li,peng-eq7-covariant-asr-li,generalized-adaptive-homogeneous-modes,1.0000000000002238e-06,,convergence
