frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,symmetry_invariance_residual,symmetry_magnetic_residual,symmetry_magnetic_modes_projected,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
1.35,222.0684874074074,-229662.42090959757,739164.0556331752,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,29.047032867005328,0.3556422866912887,0.6250631710663133,0.019294542242398016,False,3281,True,c2v,,5.738436490061188e-09,7.633907343338605e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.375,218.03087854545456,-228909.09674940788,723344.2432013272,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.979360064011416,0.3410667921173353,0.6396523302161636,0.019280877666500995,False,3281,True,c2v,,5.707377750668839e-09,7.118564797194318e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.4,214.13747,-228147.01206025976,708062.235581604,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.6962084639963,0.3268074501258766,0.6538818431370362,0.019310706737087124,False,3281,True,c2v,,5.553192003820445e-09,7.36076787932517e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.425,210.38067228070176,-227376.39072150853,693290.40988222,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.296372277007322,0.3129000966328679,0.667732566485372,0.019367336881760067,False,3281,True,c2v,,5.392256341594758e-09,7.007779092885563e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.45,206.75341931034484,-226597.45667631296,679003.0484295974,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.405402298012632,0.29937871775929625,0.6812011654923332,0.01942011674837052,False,3281,True,c2v,,5.3406769210920725e-09,6.929253938659733e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.475,203.2491240677966,-225810.4337976076,665176.1769143868,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.453875576000428,0.28627151684979396,0.6943122545462347,0.019416228603971297,False,3281,True,c2v,,5.220220074833313e-09,6.908901292718342e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.5,199.86163866666666,-225015.54575684966,651787.4187309261,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.42348605398729,0.27359111861376545,0.707140099998954,0.01926878138728061,False,3281,True,c2v,,5.048806291351144e-09,7.028399514452008e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.525,196.58521836065574,-224213.01589563605,638815.8636521411,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.810918481991393,0.26131324596240024,0.7198402186695606,0.018846535368039152,False,3281,True,c2v,,4.971689195483567e-09,7.090530785097088e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.55,193.41448903225807,-223403.06710028165,626241.949221627,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.53415936100646,0.24934113848511674,0.7326662532687799,0.01799260824610338,False,3281,True,c2v,,4.937268022286707e-09,7.957188932701294e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.5750000000000002,190.34441777777775,-222585.92167943862,614047.3534501144,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.497678813990206,0.23748742866245756,0.7458724223602858,0.01664014897725663,False,3281,True,c2v,,4.725313429639802e-09,6.579881049307436e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.6,187.37028625,-221761.80124483304,602214.8975801031,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.68028831499396,0.22558299292976972,0.759379774548784,0.015037232521446287,False,3281,True,c2v,,4.6983308189524405e-09,7.305966383033171e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.625,184.48766646153848,-220930.92659518574,590728.457834585,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,28.479108208004618,0.21372603354322808,0.7725351398134629,0.013738826643309054,False,3281,True,c2v,,4.683251254380863e-09,7.872695220377441e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
1.65,181.6923987878788,-220093.51760337854,579572.8851971548,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,27.977106261998415,0.2022750157768773,0.7846447455445235,0.013080238678599199,False,3281,True,c2v,,4.664752461436275e-09,6.867528866019237e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,spectrum
