profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision
identity,matched coordinates (no ASR),619.5,11,529,1024,4.0,0.0,0.12640687033513018,0.8734400598308831,0.00015306983398666318,0.04622203049649475,0.7778269305364736,0.9998469301660133,,0.011858962778146465,108.44707013806328,weiss2009-v1-fixed-interface-eq41
identity,matched coordinates (no ASR),619.5,14,841,1024,4.0,0.0,0.1265103367657976,0.8734023717809422,8.7291453260252e-05,0.046261036010044644,0.7777348969391282,0.9999127085467397,,0.011858962778146465,201.1610137030948,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,11,529,1024,4.0,0.0,0.19543712050400947,0.9530944478180945,-0.148531568322104,0.06282674290874213,0.8051128936785358,1.148531568322104,,3.2161225348506517e-07,87.89903479116037,weiss2009-v1-fixed-interface-eq41
weiss2009,matched coordinates + ASR,619.5,14,841,1024,4.0,0.0,0.17014241017876908,0.9221272761201442,-0.0922696862989133,0.0592998362905263,0.7957326752952412,1.0922696862989132,,3.2161225348506517e-07,161.21441854117438,weiss2009-v1-fixed-interface-eq41
