use_symmetry,symmetry_diagnostics,profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision,R_y,T_y,A_y,R0_y,T0_y,balance_y
True,"[{""layer"": 0, ""requested"": true, ""applied"": true, ""symmetry"": ""c2v"", ""blocks"": [480, 480, 481, 481], ""max_invariance_residual"": 5.802644793956642e-14, ""tolerance"": 1e-08}]",identity,matched coordinates (no ASR),370.0,15,961,1024,-33.6814911003288,1.2680462516358566,0.8398157068116068,0.00885605632510075,0.15132823686329247,0.8398157068116068,0.00885605632510075,0.8486717631367076,2.7807617319908218e-15,0.00819916908544327,69.83898117998615,weiss2009-v1-fixed-interface-eq41,0.8398157068112654,0.008856056325097969,0.15132823686363664,0.8398157068112654,0.008856056325097969,0.8486717631363634
True,"[{""layer"": 0, ""requested"": true, ""applied"": true, ""symmetry"": ""c2v"", ""blocks"": [544, 544, 545, 545], ""max_invariance_residual"": 2.0437878143875203e-14, ""tolerance"": 1e-08}]",identity,matched coordinates (no ASR),370.0,16,1089,1024,-33.6814911003288,1.2680462516358566,0.8868981951517263,0.003934517871763901,0.1091672869765098,0.8868981951517263,0.003934517871763901,0.8908327130234902,1.0802990446645566e-14,0.00819916908544327,228.48073255596682,weiss2009-v1-fixed-interface-eq41,0.886898195151638,0.003934517871774704,0.10916728697658726,0.886898195151638,0.003934517871774704,0.8908327130234127
True,"[{""layer"": 0, ""requested"": true, ""applied"": true, ""symmetry"": ""c2v"", ""blocks"": [612, 612, 613, 613], ""max_invariance_residual"": 2.3651975473911136e-14, ""tolerance"": 1e-08}]",identity,matched coordinates (no ASR),370.0,17,1225,1024,-33.6814911003288,1.2680462516358566,0.8952092768784654,0.0032792821990481305,0.10151144092248646,0.8952092768784654,0.0032792821990481305,0.8984885590775136,1.6026676513680727e-14,0.00819916908544327,245.44015024998225,weiss2009-v1-fixed-interface-eq41,0.8952092768785148,0.003279282199032104,0.10151144092245308,0.8952092768785148,0.003279282199032104,0.8984885590775469
True,"[{""layer"": 0, ""requested"": true, ""applied"": true, ""symmetry"": ""c2v"", ""blocks"": [684, 684, 685, 685], ""max_invariance_residual"": 8.81081482771501e-14, ""tolerance"": 1e-08}]",identity,matched coordinates (no ASR),370.0,18,1369,1024,-33.6814911003288,1.2680462516358566,0.898157556093796,0.004583301048102471,0.09725914285810153,0.898157556093796,0.004583301048102471,0.9027408571418984,1.3630589712487762e-14,0.00819916908544327,282.273535406217,weiss2009-v1-fixed-interface-eq41,0.8981575560941958,0.004583301048088841,0.09725914285771538,0.8981575560941958,0.004583301048088841,0.9027408571422846
True,"[{""layer"": 0, ""requested"": true, ""applied"": true, ""symmetry"": ""c2v"", ""blocks"": [480, 480, 481, 481], ""max_invariance_residual"": 4.071679964729093e-13, ""tolerance"": 1e-08}]",weiss2009,matched coordinates + ASR,370.0,15,961,512,-33.6814911003288,1.2680462516358566,0.9117455313906937,0.0030267691302478237,0.08522769947905848,0.9117455313906937,0.0030267691302478237,0.9147723005209415,1.109305087024226e-10,1.6469039775093884e-06,52.04120347695425,weiss2009-v1-fixed-interface-eq41,0.9117455268343961,0.0030267692411783324,0.08522770392442554,0.9117455268343961,0.0030267692411783324,0.9147722960755744
True,"[{""layer"": 0, ""requested"": true, ""applied"": true, ""symmetry"": ""c2v"", ""blocks"": [544, 544, 545, 545], ""max_invariance_residual"": 2.7520804982103094e-13, ""tolerance"": 1e-08}]",weiss2009,matched coordinates + ASR,370.0,16,1089,512,-33.6814911003288,1.2680462516358566,0.893934465099356,0.004531546708251184,0.10153398819239279,0.893934465099356,0.004531546708251184,0.8984660118076072,8.530212324518727e-08,1.6469039775093884e-06,162.84142655390315,weiss2009-v1-fixed-interface-eq41,0.8939349845608558,0.004531461406127939,0.10153355403301621,0.8939349845608558,0.004531461406127939,0.8984664459669838
True,"[{""layer"": 0, ""requested"": true, ""applied"": true, ""symmetry"": ""c2v"", ""blocks"": [612, 612, 613, 613], ""max_invariance_residual"": 7.838334218854822e-13, ""tolerance"": 1e-08}]",weiss2009,matched coordinates + ASR,370.0,17,1225,512,-33.6814911003288,1.2680462516358566,0.9522556557384648,0.0005702784996226498,0.04717406576191253,0.9522556557384648,0.0005702784996226498,0.9528259342380875,9.30499883179019e-08,1.6469039775093884e-06,173.7410644260235,weiss2009-v1-fixed-interface-eq41,0.9522527685201031,0.0005703715496109677,0.04717685993028593,0.9522527685201031,0.0005703715496109677,0.952823140069714
True,"[{""layer"": 0, ""requested"": true, ""applied"": true, ""symmetry"": ""c2v"", ""blocks"": [684, 684, 685, 685], ""max_invariance_residual"": 5.984672737409813e-13, ""tolerance"": 1e-08}]",weiss2009,matched coordinates + ASR,370.0,18,1369,512,-33.6814911003288,1.2680462516358566,0.9223746816285691,0.005564980172071797,0.07206033819935914,0.9223746816285691,0.005564980172071797,0.9279396618006408,0.0005411684562851952,1.6469039775093884e-06,228.87327242991887,weiss2009-v1-fixed-interface-eq41,0.9473797104070569,0.006106148628356992,0.04651414096458608,0.9473797104070569,0.006106148628356992,0.9534858590354139
