frequency_THz,R,T,A
241.8545015886,0.050045800075912306,0.9445042962016761,0.005449903722411609
244.2213681208,0.05199311524364296,0.9423915974746477,0.005615287281709347
246.5908045407,0.05402907419582862,0.9401261443837655,0.005844781420405898
249.0758859052,0.05625532644612176,0.9376220496659982,0.0061226238878800965
251.4427524375,0.05847042026222628,0.93515664748929,0.006372932248483787
253.9304036896,0.06092115218996068,0.9324877884049206,0.0065910594051187266
256.2972702219,0.06338598064823639,0.9298124087966374,0.006801610555126181
258.6667066418,0.06598132553245956,0.9269426201538981,0.007076054313642444
261.1517880063,0.06883306109988502,0.9237425288025979,0.007424410097517042
263.5212244262,0.07169070921215824,0.9205655972467243,0.00774369354111748
266.0063057906,0.07485651422513416,0.9170978761206231,0.008045609654242725
268.3757422106,0.07804329667181728,0.9136342307562375,0.008322472571945183
270.860823575,0.08157354656040862,0.9098090074887765,0.008617445950814928
273.2302599949,0.08514205571253962,0.905952797878845,0.008905146408615394
275.5971265272,0.0889193574702839,0.9018650842668484,0.009215558262867685
278.0847777793,0.09312868485230219,0.8973105930192566,0.009560722128441168
280.4516443116,0.09738155900227567,0.892728908361359,0.009889532636365383
282.9367256761,0.10213525860654918,0.8876261822642094,0.010238559129241431
285.306162096,0.10696874417699781,0.882430768390509,0.0106004874324932
287.6730286282,0.11210666492749898,0.8768789821186034,0.011014352953897633
290.1606798804,0.11786659253054446,0.8706435896138346,0.011489817855620976
292.5275464126,0.1237248671816328,0.8642967093917769,0.011978423426590279
295.0151976648,0.13031447852575176,0.8571428202168433,0.012542701257404976
297.382064197,0.13703242864148518,0.8498447104649434,0.013122860893571398
299.8697154492,0.1446138830950079,0.8416133742319786,0.013772742673013538
302.2365819814,0.15237161333967655,0.8331953837782851,0.014433002882038415
304.6060184013,0.16072405088311478,0.8241485560136746,0.01512739310321054
307.0910997658,0.17018812452868376,0.813923115779014,0.01588875969230219
309.4605361857,0.17995255210579605,0.8033819929957355,0.01666545489846838
311.9456175502,0.19105339353222894,0.7914233003205314,0.017523306147239626
314.3150539701,0.20256619343155702,0.7790677728917117,0.018366033676731286
316.8001353346,0.21573482742258066,0.7649404284993621,0.019324744078057288
319.1670018668,0.2294124262484802,0.7502260399269026,0.02036153382461714
321.5364382867,0.24433321120014123,0.7341523381028523,0.021514450697006415
324.0215196512,0.2614645614577304,0.7156755803183013,0.0228598582239683
326.3909560711,0.279359057338261,0.6963167637767212,0.02432417888501781
328.8760374356,0.29993124140198685,0.6740012344321644,0.026067524165848788
331.2454738555,0.3214605350705,0.6506150171324607,0.027924447797039287
333.6123403878,0.3450387626435868,0.6249765402308929,0.02998469712552032
336.0999916399,0.37228110277217724,0.5953216376944637,0.032397259533359035
338.4668581722,0.40076443765504616,0.5642819974444135,0.03495356490054036
340.9545094243,0.43361454289536866,0.5284388543735383,0.03794660273109307
343.3213759566,0.4678367694445591,0.491086080660841,0.04107714989459993
345.8090272087,0.5071011503861523,0.4482386257268931,0.044660223886954564
348.1758937409,0.5476276164602724,0.4039827567776332,0.04838962676209446
350.5453301609,0.5911369767361476,0.35640956265793666,0.052453460605915714
353.0304115253,0.6395399834995171,0.30345430065754503,0.05700571584293784
355.3972780576,0.6875969233174384,0.2508893160119796,0.06151376067058201
357.8849293097,0.7389168934007665,0.19476711202819116,0.06631599457104234
360.251795842,0.7867191200559654,0.14247477674080736,0.0708061032032272
362.7394470941,0.8332715631400762,0.09153295298189393,0.07519548387802985
365.108883514,0.871138789344904,0.050165598003511634,0.0786956126515844
367.4757500463,0.8985384672854205,0.01928269540598253,0.08217883730859694
369.9608314108,0.9062584459800448,0.0037409367285221595,0.09000061729143305
372.3302678307,0.9074308641861151,0.005127155577830751,0.08744198023605418
374.8153491951,0.8881844291755115,0.026479784437028777,0.08533578638745967
377.1847856151,0.8526595381753935,0.06520492202418468,0.08213553980042179
379.5516521473,0.8029496465566032,0.11937150276408988,0.07767885067930695
382.0393033994,0.7391729485157701,0.18886674638990297,0.07196030509432694
384.4061699317,0.671755659141091,0.26233466804079175,0.06590967281811722
386.8912512962,0.5983218109439955,0.34247299942681647,0.059205189629188026
389.2606877161,0.5291228235811016,0.418144154523495,0.052733021895403354
391.7483389682,0.45984825196190604,0.49395416844141604,0.04619757959667792
394.1152055005,0.3987044122199361,0.560860218086952,0.0404353696931119
396.4846419204,0.34297161983302066,0.6218641785167632,0.035164201650216165
398.9697232849,0.2906513814824932,0.6791854706444493,0.030163147873057516
401.3391597048,0.24644914772793092,0.7276448421147964,0.025906010157272674
403.8242410693,0.20565677700355472,0.7723680331807355,0.021975189815709784
406.1911076015,0.17163763543261495,0.8096635340219904,0.018698830545394562
408.5605440214,0.14180282409194317,0.842389060305022,0.015808115603034856
411.0456253859,0.11450398038276967,0.8723597209395466,0.013136298677683733
413.4150618058,0.09179674985639277,0.8973018009098893,0.010901449233717941
415.9001431703,0.07100590437296415,0.9201491956811048,0.008844899945931073
418.2695795902,0.05368383485219773,0.9392199334646719,0.0070962316831303385
420.7546609547,0.037775070501160087,0.9568048017223437,0.005420127776496142
423.1240973746,0.024467116673940248,0.9715688165693506,0.003964066756709128
425.4909639068,0.012768842209944948,0.984593730433048,0.002637427357007116
427.978615159,0.003716151978159256,0.9932300278899671,0.003053820131873719
430.3454816912,0.0057499238843371405,0.8478630629098363,0.001638364166178241
432.8331329434,0.01153006766394703,0.7922783742161568,0.002164664065405608
435.1999994756,0.016226754678998888,0.757754035608611,0.002601178206695254
437.6850808401,0.02055160092248856,0.7306460654335615,0.0029498704077360882
440.05451726,0.024218876416027504,0.7101113715008569,0.0032022503733543095
442.4213837923,0.027516275368926875,0.6931252328202965,0.0034135806285928716
444.9090350444,0.03064975203293714,0.6780425870756777,0.0036158590121514456
447.2759015767,0.03336012250672942,0.6657037178514739,0.003803203354521001
449.7635528288,0.03596314764854361,0.6543927295311072,0.003995916003633027
452.1304193611,0.03823596601990762,0.644904194223747,0.004165776048936531
454.499855781,0.04033471580676198,0.636436268805318,0.004317806999110774
456.9849371454,0.042364955375016715,0.6284954061762127,0.004468234512412073
459.3543735654,0.04415460138639207,0.621688888238708,0.004608013462447436
461.8394549298,0.04589416076055462,0.6152383523457818,0.004748841419493055
464.2088913497,0.04743362768329346,0.6096612155821239,0.004875745066930226
466.6939727142,0.04893311421062027,0.6043457608225831,0.005001430786662597
469.0634091341,0.05026080814097552,0.5997384758046812,0.005121133736580519
471.4302756664,0.051494430250962404,0.5955466208763679,0.0052470484015534335
473.9153570309,0.05269827205598214,0.5915447009361773,0.005379814407272754
476.2847934508,0.05376799125869692,0.5880678914959999,0.005493558162043111
478.7698748153,0.054813435595226674,0.5847489588003214,0.005600941845247842
481.1393112352,0.05573763921014584,0.5818882649775691,0.005708176916050189
483.6269624873,0.05663406401036914,0.5791892481018298,0.005833185033809696
