mode,kz_real,kz_imag,pq_relative_residual,forward_uv_flux,forward_cartesian_flux
0,1.041356680978673e-14,170.0664520911182,5.502871480943687e-15,-8.964709359585502e-16,-5.312782507253497e-20
1,-9.457182321540578e-15,154.44750809988705,5.49315149271409e-15,-8.161935202672807e-16,-2.5795706701850683e-19
2,-8.713042194848223e-13,161.6429062359864,5.241541409066285e-15,-1.3195471459940853e-15,-3.74051265734767e-19
3,9.071961547389621e-13,161.64290623599285,4.266426032679611e-15,-3.860080080628352e-16,-1.4204178399097653e-19
4,3.0327619899169306e-13,147.24763271317246,2.641431018939775e-14,-2.586909925990709e-15,-2.6866314810089095e-18
5,2.6931114800079907e-13,146.55677723077608,3.070749049401938e-14,-1.6307491111537478e-15,1.828036200110023e-18
6,1.8181489761738906e-13,130.47355693996897,3.620507661101079e-14,-8.849968236930935e-16,4.1970900802993064e-18
7,2.1049181474106228e-13,130.29155497921897,2.4438347545355298e-14,-2.806335066658781e-15,-1.0428627073518538e-18
8,1.1453977524429814e-13,120.64301365788106,1.0293039781670477e-14,-3.8032733500321086e-16,1.2236793956022136e-20
9,4.710944962728546e-13,138.88802733229187,3.6392586284683756e-14,9.320871728077531e-15,2.7899169933107876e-17
10,7.018311322124973e-14,138.88802733229042,4.629898143323213e-14,-1.0356195960418907e-14,9.887329009030494e-17
11,3.4630499325432863e-13,138.31601741321566,2.510621397934683e-14,-3.9655221573106195e-15,-9.989020855345966e-17
12,1.313187151650795e-13,138.31601741321506,2.7470020763875615e-14,-7.298719584555517e-15,6.234601921011931e-17
13,5.97389740471234e-14,118.21972379742945,9.902187605625354e-15,-3.1203837163895185e-16,5.205841658255971e-20
14,-1.399358368210942e-13,119.45468948444625,1.3244029297549949e-14,-4.746350287979924e-16,1.2815656344435018e-19
15,2.7255718348618155e-13,119.45468948444913,9.854154773696574e-15,-2.039473131458792e-16,-2.435656450493818e-19
16,1.977120162166268e-13,72.53443627584863,1.4625498269759534e-14,-7.13703525942822e-16,-3.0467219284100156e-18
17,8.364237671116848e-14,71.40039581531681,1.5138379352249026e-14,-4.858906407879413e-16,-1.2066340780794388e-18
18,6.827932498525528e-14,71.91758076334375,1.6353740821349226e-14,-6.440524285793913e-16,-1.9518899963411513e-18
19,1.9603061144734348e-13,71.91758076334472,1.4723593216215553e-14,-5.480586013173476e-16,-2.3010996931149036e-18
20,4.7068879953949703e-14,64.71139693221289,4.289419273426694e-14,-1.9994257850937926e-15,-7.252450270246795e-18
21,4.698121510274763e-14,64.59087324461525,2.952730495657225e-14,-1.6240910615989222e-15,-2.838711702757689e-18
22,-3.85505787285745e-15,62.957872842055224,2.9873074966780176e-14,-1.8601191014540924e-16,-4.685107704789444e-19
23,3.0432381305122e-14,60.22379476339229,3.594090651777011e-14,-2.336605137517849e-16,-8.054139974644403e-19
24,4.554112382663942e-14,62.61100207967509,3.892490517318155e-14,-1.1410464242129556e-15,5.094311526205782e-16
25,3.163868860589746e-14,62.6110020796747,3.539826906578826e-14,-1.2794442942162653e-15,5.245460135089409e-16
26,3.167590253371678e-14,62.684646134303875,4.5367004517649885e-14,-9.62407177648365e-16,-1.479430515752629e-16
27,5.951347750523054e-14,62.684646134303854,4.0439464980796997e-14,-2.4834527452292478e-15,2.7542574020569055e-16
28,-7.260930801565634e-14,61.9821379549808,3.453644152596533e-14,-3.154843092848508e-16,-2.2139601377150114e-18
29,8.637210735028004e-14,61.98213795498166,3.419256589898511e-14,-1.4302502012750392e-16,-2.0942072814197366e-18
30,3.005855194515601e-14,59.48400965011453,4.227848710722368e-14,-1.2318246956576894e-15,-1.805639103287358e-18
31,3.0061965331382815e-14,59.4907645297117,4.4740937771390567e-14,-1.5183227872363553e-15,-1.518605990726876e-18
32,4.2711911243277375e-14,58.721334454979676,6.245668953442426e-14,-1.7302042289347069e-15,2.2581364832250934e-18
33,2.9633535599687046e-14,58.64292866785495,4.978168263412003e-14,-7.816987467077595e-16,-3.433572264445365e-18
34,2.726188320555722e-14,53.94957570273081,3.222141216353501e-14,-1.4700333690464866e-16,5.655359976015841e-19
35,-3.3134697701243598e-15,54.11306790547816,3.581116277072157e-14,-1.908384312690402e-16,-5.741701284648517e-19
36,2.756307457855412e-14,54.545614745814724,3.8625761800410846e-14,-1.3994278994075003e-15,-2.162576399580704e-17
37,2.749862862446339e-14,54.418080200503354,3.428506148026796e-14,-1.1688314551660338e-15,-1.8466964714137197e-18
38,2.608772328685073e-14,51.62598606133526,3.5973966897758265e-14,-1.285654810482278e-16,1.1347619560210122e-18
39,-2.822283842007667e-14,55.85124646046053,3.6576462618022897e-14,-2.0423208680336205e-16,-8.249412979979185e-19
40,-8.946735678753978e-14,55.3790704406671,4.094608752948843e-14,-5.115350818286227e-16,-1.6997520761251194e-17
41,7.717073297042645e-14,55.379070440667164,3.6165455596181575e-14,7.465617640631172e-17,8.360267439732851e-18
42,4.0508506335861355e-14,55.69204185856175,4.467416873085846e-14,-7.846488447618067e-16,7.012904619931013e-18
43,2.814238890390859e-14,55.692041858561524,4.468178213178962e-14,-1.6806434336196739e-15,5.4985039851250095e-17
44,5.3019886293558404e-14,55.8450446808563,5.5472548843609447e-14,-1.0607022730533134e-15,-2.2841866937448856e-18
45,1.5819613644014083e-14,55.84504468085646,6.371850450159424e-14,-1.6340770490147203e-15,-1.408543995828854e-16
46,1.486684491559958e-14,52.481662147872555,3.384524510997541e-14,-1.8555818373974282e-16,-1.3327516623578512e-19
47,1.4866844915599735e-14,52.48166214787311,3.446445483337543e-14,-1.9525031592040022e-16,-9.687294193868645e-19
48,2.7762119029285994e-15,45.33898108191695,7.793925486531644e-14,-1.1841349792909058e-16,-1.449851242230615e-19
49,-1.2409949206170144e-14,43.80853941827872,6.364057502113604e-14,-1.057557993803574e-16,-1.6657688166797783e-19
