frequency_thz,wavelength_um,epsilon_silver_real,epsilon_silver_imag,epsilon_pi_real,epsilon_pi_imag,pi_thickness_um,output_medium,epsilon_aperture_real,epsilon_aperture_imag,order_x,order_y,harmonics,full_modal_dimension,grid_x,grid_y,cascade,solver,symmetry_requested,shell_radial_mapping,staircase_grid,asr_interval_allocation,nv_boundary_samples,nv_neighbors,nv_power,nv_coordinate_rule,asr_interface_rule,runtime_seconds,reflectance,transmittance,absorptance,passivity_warning,reduced_dimension,symmetry_applied,symmetry,irrep,symmetry_invariance_residual,symmetry_magnetic_residual,symmetry_magnetic_modes_projected,shell_radial_mapping_requested,model,lattice,cell_length_x_um,cell_length_y_um,sites_per_cell,factorization,backend_factorization_scheme,minimum_mapping_jacobian,effective_radial_slope,study
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,38,38,5929,11858,256,256,redheffer,nvm,True,,,,,,,,,17.019897912978195,0.10776085649516448,0.88920103478827,0.003038108716565624,False,2965,True,c2v,,3.466685315372372e-09,8.696284846567975e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,40,40,6561,13122,256,256,redheffer,nvm,True,,,,,,,,,18.35606314498,0.10972227224069621,0.8825841387736985,0.0076935889856053485,False,3281,True,c2v,,3.817737564408857e-09,7.476410801809023e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,convergence
1.95,153.73972205128206,-209613.24967659923,467056.0156994129,3.5,0.009,,PI,1.0,0.0,42,42,7225,14450,256,256,redheffer,nvm,True,,,,,,,,,23.87223287206143,0.10921384501114374,0.8790482602908817,0.011737894697974594,False,3613,True,c2v,,4.123877239220883e-09,7.910624776057988e-08,True,auto,analytic-nvm-primitive,square,62.0,62.0,1,analytic-concentric-NVM,concentric-normal-vector,,,convergence
