frequency_THz,coarse_grid,fine_grid,T_x,R_x,A_x,T0_x,R0_x,T_y,R_y,A_y,T0_y,R0_y
241.8545015886,512,768,-4.461732648597394e-05,2.1995230974090896e-05,2.262209551184835e-05,-4.461732648597394e-05,2.1995230974090896e-05,-4.461732770599802e-05,2.1995229660717874e-05,2.2622098045377292e-05,-4.461732770599802e-05,2.1995229660717874e-05
244.2213681208,512,768,-3.385341613193482e-05,1.5222579746849985e-05,1.8630836385091776e-05,-3.385341613193482e-05,1.5222579746849985e-05,-3.385341261952224e-05,1.5222579122925461e-05,1.8630833496624533e-05,-3.385341261952224e-05,1.5222579122925461e-05
246.5908045407,512,768,-1.2567155339704428e-06,1.6574370961516816e-05,-1.531765542750474e-05,-1.2567155339704428e-06,1.6574370961516816e-05,-1.2567192499979285e-06,1.6574371545563515e-05,-1.5317652295565587e-05,-1.2567192499979285e-06,1.6574371545563515e-05
249.0758859052,512,768,1.069626074512442e-05,2.680748872707639e-05,-3.750374947220081e-05,1.069626074512442e-05,2.680748872707639e-05,1.069625672800445e-05,2.680749073811356e-05,-3.7503747466138826e-05,1.069625672800445e-05,2.680749073811356e-05
251.4427524375,512,768,-2.149305950205349e-05,3.543999745915516e-05,-1.394693795708779e-05,-2.149305950205349e-05,3.543999745915516e-05,-2.1493059646826573e-05,3.5439995651406764e-05,-1.3946936004538557e-05,-2.1493059646826573e-05,3.5439995651406764e-05
253.9304036896,512,768,-6.241403258122613e-05,3.1758905358794665e-05,3.0655127222445344e-05,-6.241403258122613e-05,3.1758905358794665e-05,-6.241403447648786e-05,3.175890774669704e-05,3.065512672983939e-05,-6.241403447648786e-05,3.175890774669704e-05
256.2972702219,512,768,-5.971762550149862e-05,2.424281727861355e-05,3.5474808222968335e-05,-5.971762550149862e-05,2.424281727861355e-05,-5.971762830125904e-05,2.4242815716057908e-05,3.547481258525664e-05,-5.971762830125904e-05,2.4242815716057908e-05
258.6667066418,512,768,-3.09126575913643e-05,2.6268558763642424e-05,4.6440988277218764e-06,-3.09126575913643e-05,2.6268558763642424e-05,-3.091264900023649e-05,2.6268559049705265e-05,4.644089950489594e-06,-3.091264900023649e-05,2.6268559049705265e-05
261.1517880063,512,768,-3.502443817693379e-05,3.840196380965055e-05,-3.377525632730638e-06,-3.502443817693379e-05,3.840196380965055e-05,-3.5024427598284724e-05,3.840196455708045e-05,-3.377536958781846e-06,-3.5024427598284724e-05,3.840196455708045e-05
263.5212244262,512,768,-8.042833213539602e-05,4.0282831631849314e-05,4.014550050357446e-05,-8.042833213539602e-05,4.0282831631849314e-05,-8.042832212429296e-05,4.028283102171237e-05,4.0145491102538955e-05,-8.042832212429296e-05,4.028283102171237e-05
