frequency_THz,T_paper,T_computed,T_difference,R_paper,R_computed,R_difference,A_paper,A_computed,A_difference
241.8545015886,0.944690571,0.9445042961878509,-0.0001862748121490565,0.0499229748,0.05004580007515702,0.00012282527515702218,0.005875166,0.005449903736992057,-0.0004252622630079436
244.2213681208,0.942247012,0.9423915974774534,0.0001445854774533295,0.0518884462,0.051993115243262125,0.00010466904326212473,0.005875166,0.005615287279284509,-0.00025987872071549147
246.5908045407,0.9397928287,0.9401261443792667,0.00033331567926664363,0.0538432935,0.05402907419675486,0.00018578069675485864,0.0063638778,0.0058447814239784845,-0.0005190963760215153
249.0758859052,0.9378379814,0.9376220496621438,-0.0002159317378561676,0.0562974768,0.05625532644619096,-4.215035380904231e-05,0.0063638778,0.006122623891665291,-0.00024125390833470896
251.4427524375,0.9353944223,0.9351566474858887,-0.0002377748141113578,0.058252324,0.05847042026035623,0.0002180962603562306,0.0063638778,0.006372932253755126,9.054453755126014e-06
253.9304036896,0.9324515272,0.9324877883992007,3.626119920063786e-05,0.0606958831,0.060921152191036755,0.0002252690910367547,0.0068525896,0.0065910594097625674,-0.00026153019023743285
256.2972702219,0.9300079681,0.9298124087987747,-0.00019555930122527876,0.0631500664,0.06338598064597528,0.00023591424597528554,0.0068525896,0.006801610555249971,-5.097904475002968e-05
258.6667066418,0.927065073,0.9269426201557256,-0.00012245284427436776,0.0660823373,0.0659813255322516,-0.00010101176774840459,0.0073413015,0.00707605431202285,-0.00026524718797715004
261.1517880063,0.9241328021,0.923742528806003,-0.00039027329399698996,0.0685258964,0.06883306109909437,0.00030716469909437827,0.0073413015,0.007424410094902578,8.310859490257786e-05
263.5212244262,0.9207118194,0.9205655972507444,-0.00014622214925563704,0.0714687915,0.07169070921071259,0.00022191771071258803,0.0078300133,0.007743693538542984,-8.631976145701686e-05
266.0063057906,0.9172802125,0.917097876122733,-0.0001823363772670561,0.0748897742,0.07485651422545041,-3.325997454958762e-05,0.0078300133,0.008045609651816665,0.00021559635181666453
268.3757422106,0.9138592297,0.9136342307549855,-0.00022499894501448736,0.0778326693,0.07804329667398632,0.00021062737398631903,0.0083187251,0.008322472571028139,3.7474710281384938e-06
