profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision,R_y,T_y,A_y,R0_y,T0_y,balance_y,device,torch_version
weiss2009,matched coordinates + ASR,241.8545015886,12,625,256,-80.02450247157323,4.532118482777158,0.04999547483496452,0.944473365666793,0.005531159498242566,0.04999547483496452,0.944473365666793,0.9944688405017574,1.0212830581224352e-11,5.101560566760088e-06,15.587748449062929,weiss2009-v1-fixed-interface-eq41,0.049995474837268294,0.9444733656770058,0.005531159485725912,0.049995474837268294,0.9444733656770058,0.9944688405142741,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,244.2213681208,12,625,256,-78.46639884421907,4.401887410845489,0.051917768485162386,0.942361261942422,0.005720969572415635,0.051917768485162386,0.942361261942422,0.9942790304275844,3.224642775023767e-12,5.101560566760088e-06,2.443546290975064,weiss2009-v1-fixed-interface-eq41,0.051917768484616086,0.9423612619391973,0.005720969576186619,0.051917768484616086,0.9423612619391973,0.9942790304238134,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,246.5908045407,12,625,256,-76.95114628652054,4.276462673920101,0.053939579839039735,0.9401886848548658,0.005871735306094417,0.053939579839039735,0.9401886848548658,0.9941282646939056,1.8054446826454296e-12,5.101560566760088e-06,2.408520016935654,weiss2009-v1-fixed-interface-eq41,0.05393957983834244,0.9401886848530604,0.005871735308597192,0.05393957983834244,0.9401886848530604,0.9941282646914028,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,249.0758859052,12,625,256,-75.40798889097752,4.149981327011089,0.05617117689558596,0.9377751445465898,0.006053678557824238,0.05617117689558596,0.9377751445465898,0.9939463214421758,1.0340617251358708e-12,5.101560566760088e-06,2.4387888950295746,weiss2009-v1-fixed-interface-eq41,0.056171176895943156,0.9377751445476239,0.0060536785564329065,0.056171176895943156,0.9377751445476239,0.9939463214435671,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,251.4427524375,12,625,256,-73.98041294276884,4.034110251078932,0.05840181322792504,0.9353244337998031,0.00627375297227184,0.05840181322792504,0.9353244337998031,0.9937262470277282,2.650213382082711e-12,5.101560566760088e-06,2.4106527540134266,weiss2009-v1-fixed-interface-eq41,0.0584018132289657,0.9353244338024533,0.0062737529685810145,0.0584018132289657,0.9353244338024533,0.993726247031419,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,253.9304036896,12,625,256,-72.52264229156084,3.9169268480175425,0.06085321578231483,0.9326009788856569,0.006545805332028309,0.06085321578231483,0.9326009788856569,0.9934541946679717,8.812950369474493e-13,5.101560566760088e-06,2.438300488051027,weiss2009-v1-fixed-interface-eq41,0.060853215783043875,0.9326009788865381,0.006545805330417931,0.060853215783043875,0.9326009788865381,0.9934541946695821,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,256.2972702219,12,625,256,-71.17472688539321,3.8096074371555537,0.06329674928361846,0.9299149863308187,0.006788264385562792,0.06329674928361846,0.9299149863308187,0.9932117356144372,7.516542943619697e-12,5.101560566760088e-06,2.417961077997461,weiss2009-v1-fixed-interface-eq41,0.06329674928606045,0.9299149863233022,0.0067882643906374,0.06329674928606045,0.9299149863233022,0.9932117356093626,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,258.6667066418,12,625,256,-69.86210479427548,3.7060610706248425,0.06587591685489766,0.9271267325608279,0.00699735058427442,0.06587591685489766,0.9271267325608279,0.9930026494157256,6.053713086373591e-12,5.101560566760088e-06,2.4250611840980127,weiss2009-v1-fixed-interface-eq41,0.06587591685563131,0.9271267325668816,0.0069973505774870715,0.06587591685563131,0.9271267325668816,0.9930026494225129,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,261.1517880063,12,625,256,-68.52348717331836,3.6014517532997967,0.06873644354640474,0.9240220108284852,0.007241545625110035,0.06873644354640474,0.9240220108284852,0.99275845437489,4.067080006109336e-12,5.101560566760088e-06,2.3957772200228646,weiss2009-v1-fixed-interface-eq41,0.06873644354789919,0.9240220108325523,0.007241545619548484,0.06873644354789919,0.9240220108325523,0.9927584543804515,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,263.5212244262,12,625,256,-67.28214617752515,3.5053438089583424,0.07160833011520543,0.9208729464661096,0.0075187234186849805,0.07160833011520543,0.9208729464661096,0.992481276581315,1.189859322181519e-11,5.101560566760088e-06,2.4660061210161075,weiss2009-v1-fixed-interface-eq41,0.07160833011607844,0.9208729464780082,0.007518723405913308,0.07160833011607844,0.9208729464780082,0.9924812765940867,cuda,2.6.0+cu124
