mode,kz_real,kz_imag,pq_relative_residual,forward_uv_flux,forward_cartesian_flux
0,3.6943224143039865e-16,6.033286359587299,4.558172478597159e-15,-1.5551785724293713e-16,1.4034406166306465e-18
1,3.6884694152134717e-16,6.023727686679176,6.856917400543843e-15,-1.9789056980705647e-16,-1.0779174464169145e-17
2,3.6788964485442885e-16,6.008093845679717,7.029805222926577e-15,-1.6578616990672995e-16,-5.294168225942562e-18
3,3.6884694152134816e-16,6.023727686679192,4.944748398841651e-15,-1.1931790326554663e-16,8.725382342617604e-19
4,3.594876900673481e-16,5.870879511017175,6.4797312124759045e-15,-1.7272376195528167e-16,-1.6209165932955944e-17
5,3.5496843466281725e-16,5.79707446930756,1.1782953836870789e-14,-1.3383649962736781e-17,2.4863040954037894e-18
6,3.5847283854424655e-16,5.854305727885449,5.368283858531917e-15,-1.610136179934104e-16,-1.398656196749191e-17
7,3.511392763748455e-16,5.734539568785421,4.826752789872819e-15,-1.745262770165536e-18,4.792081424548135e-18
8,3.4970168003179803e-16,5.711061838813835,1.1905710191360806e-14,8.403962018832208e-19,-2.9041032604571715e-18
9,3.5844758116841835e-16,5.8538932436353655,7.757754547625938e-15,-2.1548225645725771e-16,-2.8876923781087184e-17
10,3.5844758116841623e-16,5.853893243635331,4.504466249827283e-15,-1.2073309514270033e-16,-7.722160738510735e-18
11,3.497016800317945e-16,5.7110618388137775,4.9619304132223994e-15,2.7286726956096867e-18,-1.283091236726556e-18
12,3.411053304753357e-16,5.570672796643515,8.410221816404527e-15,-7.237969760013717e-17,-9.083382784948084e-18
13,3.4064705858392527e-16,5.563188648696049,6.485162905472846e-15,-5.984167249138737e-17,-3.24402098110669e-18
14,0.02664949106607429,5.567025993583246,6.721029527597303e-15,-2.2225509661322543e-05,0.00037495338879495345
15,-0.026649491066075538,5.567025993583249,6.396140147186305e-15,2.2225509661282644e-05,-0.0003749533887949155
16,0.026649491066050867,5.567025993583259,5.273116159441915e-15,-2.2225509658553924e-05,0.0003749533887941343
17,-0.026649491066050895,5.5670259935832656,5.2217721939191604e-15,2.222550965887138e-05,-0.00037495338879403947
18,0.0070735855366292075,5.463759555686575,4.395181145828852e-15,-1.0793937482605695e-05,-0.0002504073171141657
19,-0.007073585536626781,5.463759555686574,4.287741722372845e-15,1.0793937482628246e-05,0.00025040731711422
20,0.00509692778659209,5.468246867820935,6.023598920425976e-15,8.941580607274222e-06,-1.663876179765752e-06
21,-0.005096927786590879,5.4682468678209375,5.2200281220393065e-15,-8.941580607114627e-06,1.663876179778837e-06
22,2.7594329703992766e-15,5.460746670018033,5.615331754926383e-15,1.372827864474703e-16,1.3891909969075924e-16
23,0.0057911186718524075,5.4681577380106,5.40021085690273e-15,-3.9563692684468216e-06,-0.00010566768728032906
24,0.005791118671847548,5.468157738010597,4.7886176269069534e-15,-3.956369268033957e-06,-0.00010566768728015575
25,-0.005791118671852409,5.468157738010602,5.106488688228351e-15,3.956369268590804e-06,0.00010566768728033867
26,-0.005791118671846343,5.468157738010606,4.795093288843707e-15,3.956369268511006e-06,0.00010566768728022228
27,3.311006906854865e-16,5.407284629592985,5.217603787634909e-15,4.090562346402501e-19,-6.633426764719286e-17
28,3.2766562607547074e-16,5.351185767253127,6.6535422229364874e-15,9.449024027303185e-18,-6.906123621735603e-17
29,3.2728667091426366e-16,5.344996959811325,4.0241381397666466e-15,9.568650386182777e-18,1.6122433738894156e-18
30,0.011850327247167258,5.257479452287204,5.314166393428622e-15,-7.644180914476769e-06,0.0008903291197312783
31,-0.011850327247167258,5.257479452287204,5.3714008003466e-15,7.644180914523607e-06,-0.0008903291197313817
32,3.23092148455588e-16,5.276495209566339,6.13808999586851e-15,-8.121622925865135e-17,-9.843656337413071e-18
33,3.229048798279145e-16,5.273436880784459,5.947432884016667e-15,-5.87356157273423e-17,-4.695887605573354e-18
34,1.4603883921631885e-15,5.15533797771457,5.5339118111666895e-15,-2.465410316815794e-16,-2.5476184235768078e-17
35,-0.011850327247160283,5.2574794522872175,5.098171233513692e-15,7.64418091486448e-06,-0.0008903291197307993
36,0.011850327247162616,5.257479452287217,5.091534591310754e-15,-7.64418091486795e-06,0.0008903291197308828
37,-0.006998268418622716,5.142713138492447,5.239606959388191e-15,-6.743207605133198e-06,-0.00048438522794327454
38,1.4566931209102793e-15,5.142293247743893,4.709615859913241e-15,3.517983015075629e-17,6.43276232175948e-17
39,0.006998268418621572,5.142713138492446,4.732964912362549e-15,6.743207604931103e-06,0.0004843852279433051
40,3.1513677011405323e-16,5.146574021725509,5.494161893261259e-15,3.46657498086683e-18,1.0717058722536046e-17
41,-4.8862127515999634e-15,5.146574021725541,6.8059679527547086e-15,1.5322953070772381e-16,-2.6966903238440434e-16
42,3.144563843523442e-16,5.135462478998532,5.369172104635181e-15,1.7563215014261418e-17,-2.6366910314350312e-17
43,3.116731134608935e-16,5.09000821588547,7.632848701944512e-15,-6.036366019225707e-17,-1.342096897657541e-17
44,3.111391417923036e-16,5.081287796757902,5.9973348586911085e-15,-6.231812429391638e-17,-1.2622081947512116e-17
45,3.740330066118161e-15,5.142293247743871,5.1770862511473696e-15,5.3446296664088656e-17,2.704266504161641e-16
46,3.1143310579931084e-16,5.086088593317562,6.0536948187535626e-15,-5.385034461481876e-17,1.728591420659829e-17
47,-3.1143310579931114e-16,5.086088593317567,5.892269622151824e-15,1.7095190841889693e-16,2.560924706684572e-17
48,3.056231910106044e-16,4.9912054842815285,4.630608861973923e-15,1.4395642071606918e-17,4.407282778876674e-18
49,3.0508820216987924e-16,4.9824684534723565,4.407586212921879e-15,1.4412694622799155e-17,-5.942303251829604e-18
50,3.0836270339598886e-16,5.035945116758285,4.925488076447321e-15,1.514367854748601e-17,2.830678230605465e-19
51,-3.083627033959886e-16,5.03594511675828,4.0621690118519934e-15,-1.37115575919158e-17,-7.357354649630454e-18
52,0.0050282839949633736,4.946872813956445,4.259711286056255e-15,-3.0970349287340326e-06,0.00027746146592141013
53,-0.005028283994961172,4.946872813956441,4.45112718858262e-15,3.0970349285338347e-06,-0.0002774614659214942
54,3.0199734566960295e-16,4.9319909361599645,4.0701307722410146e-15,1.5613041596679522e-17,7.260206478444654e-17
55,0.002165184926487474,4.952087491516445,5.227207352147019e-15,-2.687547538598252e-06,0.00018476067490579506
56,-0.002165184926487475,4.952087491516447,5.149999969357773e-15,2.6875475385544504e-06,-0.00018476067490566875
57,-1.4024656208181906e-15,4.950863973065006,4.3168649967211584e-15,3.6201585162794215e-16,7.096693217405846e-18
58,3.0068945343857764e-16,4.910631435086906,5.78862826525177e-15,-5.98322654986243e-17,-1.3501678393162334e-17
59,-2.9921612618436787e-16,4.88657017505282,6.227592687202068e-15,2.1391599139487146e-16,3.5901651706622435e-17
60,-3.0010664550514084e-16,4.901113459229008,5.025006963232297e-15,2.4579835363242015e-16,3.44094520576212e-17
61,0.005028283994955691,4.946872813956452,4.885573830790126e-15,-3.097034928359007e-06,0.0002774614659210241
62,-0.00502828399495349,4.946872813956448,5.152960870209753e-15,3.0970349280584663e-06,-0.00027746146592106963
63,3.001066455051413e-16,4.901113459229015,5.539400075599955e-15,-5.790560749402733e-17,6.569801944119127e-17
64,-2.965025757810717e-16,4.842254533919631,8.566583123151283e-15,3.0610334048048174e-16,5.436970755469408e-17
65,2.964901501446959e-16,4.8420516078778615,5.113397911962289e-15,1.6903408975716257e-17,1.438544721958103e-17
66,1.3673647924461462e-15,4.826954036142267,9.345566971222476e-15,-9.879266076998509e-16,-4.480957324587928e-16
67,2.939696309097418e-16,4.800888404957493,6.158436386625475e-15,1.6997125321370912e-17,1.5114550254439906e-17
68,1.357134056129561e-15,4.7908383673544925,8.063678820135953e-15,-8.564365299340271e-16,-3.2830381595052704e-16
69,-2.873409004615014e-16,4.692633021399465,7.129356216782513e-15,-1.5792511297892236e-17,-1.8014520034008646e-17
70,2.924659064727165e-16,4.776330721255183,3.8732510985158665e-15,1.8948952701675812e-17,1.1717202037456783e-17
71,-2.8859809027281743e-16,4.713164489120466,5.8390600530261965e-15,2.5888649417544806e-16,6.774230019419432e-17
72,2.89820360090799e-16,4.733125670072109,5.1207087319653615e-15,1.4191560131447423e-17,9.707004584247757e-19
73,-2.959985857591972e-16,4.834023752240776,6.994935806785806e-15,2.1696325427445276e-16,8.818317077054672e-17
74,2.959985857591977e-16,4.834023752240784,8.420145018208935e-15,-1.0007143700393843e-16,-3.0035258914045456e-18
75,-2.9153226838736065e-16,4.761083254213979,4.964744661946494e-15,2.2057981239334944e-16,2.2164856702148847e-17
76,2.896113096917824e-16,4.729711617968888,7.678167542527408e-15,1.8531380423162782e-17,6.7643545007531625e-18
77,-2.9497349234651074e-16,4.817282706358809,4.33012045228005e-15,-2.3242584072658e-17,-1.232088831120185e-18
78,2.949734923465112e-16,4.817282706358816,4.347276281029755e-15,1.8592426131791096e-17,-9.275275470230606e-19
79,2.926920042046489e-16,4.780023177432587,5.8072812172783855e-15,-7.323165289680168e-17,-3.427952511859688e-17
80,-2.926920042046493e-16,4.780023177432593,5.83048819741733e-15,2.173366369855143e-16,-5.102271040886749e-17
81,-2.910620240777773e-16,4.753403581839695,5.366514855762016e-15,-1.5791877127817262e-17,-1.0042865991455313e-17
82,-1.3390284873494032e-15,4.7269236397098755,5.056729443542162e-15,-7.212969942837078e-17,-3.967851726029885e-17
83,1.3390284873494065e-15,4.726923639709887,5.415344650601936e-15,5.623377621438415e-17,1.1659249700277834e-16
84,2.910620240777772e-16,4.753403581839693,4.779493284661156e-15,1.5112761844911227e-17,2.810042390427982e-17
85,2.8750279459401794e-16,4.695276953227471,6.207132760997211e-15,-9.869042842021365e-17,-5.293352304662853e-17
86,0.0030745417939229106,4.682963946009035,5.277506182309908e-15,-1.0493286382897305e-05,0.00010438048835298744
87,-0.003074541793922909,4.682963946009032,5.4886334821502214e-15,1.0493286382963658e-05,-0.00010438048835296337
88,2.8545203383869657e-16,4.661785488476178,7.364865988330689e-15,-2.3151370939275693e-17,-1.0514438467676231e-17
89,2.8482245583660564e-16,4.651503699432524,6.8586453471572454e-15,-8.81504373778526e-17,5.215754852803031e-19
90,2.835887433467375e-16,4.631355645467461,4.061316562827959e-15,1.878504589583508e-17,1.3882550439829965e-17
91,2.8750279459401863e-16,4.695276953227482,5.541435254143929e-15,-9.575485122561211e-17,-2.7840472801489926e-16
92,-2.822776580714212e-16,4.60994399802382,4.903166366586406e-15,-1.7921911584476138e-17,-7.485983182194568e-18
93,2.821894053588243e-16,4.608502721850831,5.7928993571927e-15,-9.720020180057849e-17,-4.4412817194851187e-17
94,2.841070161548112e-16,4.639819682746365,4.316143159344267e-15,1.5915039357942733e-17,3.948109357236233e-17
95,2.8507464322686987e-16,4.655622232064787,9.054007991243214e-15,-8.124782381710612e-17,-2.587239373377803e-16
96,-1.3188304424258833e-15,4.65562223206477,7.944727943439853e-15,8.679575197876785e-16,8.61581863089026e-17
97,1.3143539445336164e-15,4.6398196827463805,5.474971842244949e-15,7.760272340771564e-17,1.1559410654703909e-16
98,1.300189488071864e-15,4.5898175321384915,5.207609082357087e-15,7.380517355718885e-17,5.037135330017143e-17
99,2.7994440682801704e-16,4.5718391134966465,5.627325042103575e-15,-7.004142745408841e-17,-8.663636352860524e-18
100,2.793460606391934e-16,4.562067378670895,6.7955207594143925e-15,1.8870056455977032e-17,1.3033005294298527e-17
101,0.0040406711496920175,4.587959046620592,5.684559806234956e-15,-2.642609270905828e-06,0.0003735095455698165
102,-0.00404067114969202,4.587959046620595,5.638384361604722e-15,2.642609271077403e-06,-0.0003735095455697344
103,0.004040671149695079,4.587959046620599,5.229703604677591e-15,-2.642609271484304e-06,0.0003735095455699424
104,-1.2839675852585946e-15,4.5325523606999765,6.483164251692211e-15,6.791250181390851e-16,4.620166810859851e-16
105,-1.2834642638020015e-15,4.530775578417881,8.226406885036173e-15,1.0978532331287581e-15,6.661596419316934e-16
106,2.7481015046341683e-16,4.487990343905693,5.314503234346762e-15,1.3268968385348226e-17,-6.289293400863351e-17
107,0.0010706002635533427,4.531058320486956,5.521235001706357e-15,2.0282737112720193e-06,-0.00021475432593592354
108,-0.004040671149694056,4.587959046620593,5.169563479642361e-15,2.6426092711582844e-06,-0.0003735095455701241
109,2.739995054196564e-16,4.4747515056655605,6.1649611884736635e-15,1.5434830767406528e-17,1.494481734577376e-17
110,2.740242013791462e-16,4.475154821291045,7.146567429050291e-15,-1.2982060132252092e-16,-6.737194298781182e-17
111,0.0010706002635623992,4.531058320486963,6.1690012891404016e-15,2.028273710862733e-06,-0.0002147543259378545
112,-0.001070600263552337,4.531058320486958,5.1770206743539866e-15,-2.0282737112896918e-06,0.00021475432593573543
113,-0.001070600263561399,4.531058320486988,6.989736966941651e-15,-2.0282737116645005e-06,0.00021475432593701175
114,0.005377233933838971,4.438734669181382,4.784285549905525e-15,-8.650992224903389e-06,0.0018536581280363164
