mode,kz_real,kz_imag,pq_relative_residual,forward_uv_flux,forward_cartesian_flux
0,5.052242591344479e-16,8.250938302965471,6.1490966985786764e-15,-1.8116595488917876e-16,-5.245191100792262e-18
1,5.038908748751082e-16,8.22916248547641,7.11815317992099e-15,-1.8197569047795829e-16,4.1789627223371494e-18
2,4.98773652485636e-16,8.145591901810409,7.812206445530528e-15,-1.611842840903709e-16,2.809954558909886e-18
3,4.952251131905092e-16,8.087639857227476,8.824710119397645e-15,-1.7334649774867941e-16,-4.815343036487489e-18
4,5.03790782898606e-16,8.227527859450818,7.431258714026602e-15,-2.0772339536932923e-16,4.50687702388292e-18
5,5.03790782898606e-16,8.227527859450818,7.429104316633867e-15,-1.238328287567897e-16,-1.3050660134820632e-18
6,4.839241856691721e-16,7.903081704963405,6.4656329905484054e-15,-3.6650908301363843e-17,-1.867690473324817e-18
7,4.811952173363744e-16,7.858514269933195,5.555893171984279e-15,-4.1233149295797355e-17,2.3230006377096013e-18
8,4.978531244190516e-16,8.130558537623687,8.291206935025239e-15,-2.441738623362497e-16,-6.013153733840872e-18
9,4.785879380189925e-16,7.815934167340396,6.4823969398532075e-15,-5.14745230381397e-17,-2.7511962183104e-18
10,4.978531244190546e-16,8.130558537623735,8.927393678809608e-15,-1.2757597322982485e-16,-8.598731064668385e-18
11,2.2140739523261502e-15,7.8159341673404175,8.394945465922757e-15,4.204205682049357e-17,3.17814702743694e-18
12,4.592023316999312e-16,7.499343190536989,9.659885327220756e-15,-2.3200961678548005e-17,3.959490817353775e-18
13,4.610235358753101e-16,7.529085711836142,1.491483376966748e-14,-8.20385158384782e-18,5.1270031621756556e-18
14,4.610235358753067e-16,7.529085711836086,8.803942336400957e-15,-3.7346526368666906e-18,8.263445811079203e-18
15,4.53812901522842e-16,7.411327116337612,8.077440582220221e-15,-1.1829937625190794e-17,3.4599385432768758e-18
16,4.495231243962745e-16,7.341269739311776,1.4120867920348564e-14,-4.818078147121088e-17,-1.211464449942723e-18
17,4.493874712507562e-16,7.339054355323301,1.5174564386410434e-14,-1.1024444970866384e-16,-1.5660223144532928e-18
18,4.482380180893557e-16,7.320282360619184,1.7561331905810478e-14,-9.519740029684292e-17,-9.464808678615494e-18
19,4.476868495780943e-16,7.311281095737829,1.461351927865857e-14,-9.302117024858679e-17,-6.693093691318481e-18
20,4.47284802586178e-16,7.304715170081613,1.4242223142182398e-14,-7.513873311436781e-17,-4.962693545835869e-18
21,4.491578115447384e-16,7.335303727694542,1.6476983218322623e-14,-7.975069308283414e-17,-2.0399729743435756e-18
22,4.491578115447403e-16,7.335303727694573,2.142677251871596e-14,-9.220726548427429e-17,-1.1921856383706269e-17
23,4.476868495780956e-16,7.31128109573785,1.7081391903597935e-14,-7.14014893217485e-17,-1.1706630605764871e-17
24,4.419818178967469e-16,7.218110857832182,9.242443799842809e-15,1.4354149777199648e-17,1.7000503249210997e-19
25,4.416005873055754e-16,7.211884889799,1.3001369576798407e-14,1.4293487381573792e-17,-1.5809403816151577e-19
26,4.417821598353911e-16,7.214850194243386,8.69819257485837e-15,1.414893430388689e-17,5.4085042793066325e-20
27,4.37319758916056e-16,7.141973656739805,1.1682362358309187e-14,1.1391601581114994e-17,1.0245125886594074e-18
28,4.417821598353934e-16,7.214850194243423,1.1899696670703843e-14,1.4224038994784254e-17,1.4798751263086603e-18
29,4.361413344118437e-16,7.122728524101843,1.2576955036061146e-14,9.864300845537388e-18,1.979993066702906e-18
30,4.3786693056992377e-16,7.150909647986404,8.765264119614806e-15,9.37128136084596e-18,5.7473170704674405e-18
31,4.378669305699229e-16,7.150909647986389,7.947304045091387e-15,7.5624160322048e-18,8.96928481803499e-19
32,4.3104090418650034e-16,7.039432177287489,1.2369701033320703e-14,-7.895504966775371e-17,-7.609056420931579e-18
33,4.3149852097699036e-16,7.046905626625023,1.36906035310912e-14,-1.2522819584262152e-16,-2.172791573167023e-18
34,4.3132562576128903e-16,7.044082033474382,1.2412466877395104e-14,-9.96707474064953e-17,4.5397215742728336e-18
35,4.3132562576129317e-16,7.044082033474449,1.3101041826820211e-14,-1.2115488777193092e-16,-1.3678028342773846e-17
36,4.257956976309544e-16,6.953771453571918,1.4779114075299742e-14,-9.41953495756119e-17,-8.216202606511022e-18
37,4.2568360286827955e-16,6.951940807172436,1.2916141103979604e-14,-1.0024676672119134e-16,-1.0418400530086678e-17
38,4.253509987890998e-16,6.946508970345502,1.4852806081248916e-14,-8.62074353008858e-17,-9.256731900876278e-18
39,4.2568360286827867e-16,6.951940807172422,1.1836587761007848e-14,-7.548397636927742e-17,-6.958236695351168e-18
40,4.217838901670574e-16,6.888253665640081,1.0263915172084316e-14,1.3439945849375904e-17,1.258459707403895e-19
41,4.205603576682086e-16,6.868271863544969,9.467488521064827e-15,1.365692715493773e-17,2.4874074255592467e-19
42,4.2021908415959243e-16,6.862698444190853,1.0636623077563704e-14,-4.0258898476699214e-17,-4.452135874355117e-18
43,4.1930813271696263e-16,6.8478214781421265,1.0826675940313364e-14,-1.2943726812063412e-17,-1.0199931683205713e-18
44,4.181553725686088e-16,6.828995476242535,8.508799258930895e-15,1.0358906967863775e-17,8.9871068612084e-19
45,4.1796036679599067e-16,6.825810790294654,8.665637217046935e-15,1.1150413402500534e-17,2.1631703110212257e-18
46,4.211116236031229e-16,6.8772747194753165,8.608373619838519e-15,1.2964296895400962e-17,1.9360232030167797e-19
47,4.211116236031218e-16,6.877274719475299,9.686242645945576e-15,1.4220635766949057e-17,3.865894767215579e-19
48,4.198165361086934e-16,6.856124335620458,1.2800024730567915e-14,-7.854757542548801e-17,-1.2908153458889997e-18
49,-4.1981653610869225e-16,6.856124335620439,1.328127801540197e-14,2.5910399043330146e-16,2.678699344044362e-17
50,4.124619429236871e-16,6.736014713970741,1.2495511460755024e-14,-9.308031175317593e-17,-9.647103198542801e-18
51,4.1207027250745065e-16,6.729618250655618,1.0805763502489296e-14,-6.232676030640329e-17,-5.853467006950049e-18
52,4.1447637636285266e-16,6.7689129086268345,1.0454732878951795e-14,1.1806871661116498e-17,4.182271499182411e-18
53,1.9174769689308386e-15,6.768912908626819,9.520108008792383e-15,4.169096166385666e-17,4.745893839730323e-17
54,4.094078641416332e-16,6.686137822377503,8.764392299489706e-15,1.2971826216962003e-17,1.0337379420512024e-18
55,4.1216576090649646e-16,6.731177694555888,1.2012088968311585e-14,-9.360868811295143e-17,-1.525565191905578e-17
56,4.0795021077589924e-16,6.662332536367711,9.351944837547137e-15,1.2934458693032462e-17,1.294450691771188e-18
57,4.121657609064966e-16,6.731177694555891,1.1780898506338634e-14,-9.557750370228074e-17,-5.929442389016916e-18
58,4.065426822041599e-16,6.639345850366175,1.1062450841100426e-14,-9.227668824479118e-17,-8.738527876422035e-18
59,4.063034846490134e-16,6.635439457840378,1.1984201638563141e-14,-7.327583648407891e-17,-1.0734376775635291e-17
60,4.08688189474496e-16,6.674384643132054,9.173844625298961e-15,1.2437926096071977e-17,1.093011439214041e-18
61,4.0868818947449456e-16,6.674384643132031,8.689668769554964e-15,1.418060208645787e-17,1.7123234249888711e-18
62,4.064131438176139e-16,6.637230327970066,1.0191497922547873e-14,-4.855709427954189e-17,-1.4565742239348658e-18
63,4.0460705089037066e-16,6.607734592081143,1.0050282801251323e-14,1.085427061536573e-17,4.3479965145219506e-18
64,4.0641314381761747e-16,6.637230327970124,1.0731076904363771e-14,-4.2196428575130666e-17,1.828750750566935e-18
65,4.0460705089037515e-16,6.607734592081216,1.0674767657494108e-14,1.0959653425404985e-17,1.4421596194841518e-18
66,4.0120744761441987e-16,6.5522148572756835,7.723933966659789e-15,1.2043353002854513e-17,4.862505496477989e-18
67,4.0069218539064856e-16,6.543799986569614,1.1202925167982921e-14,-1.0641119786712804e-16,-2.2620005965092136e-17
68,4.0053626625049193e-16,6.541253633771972,1.0435094265708269e-14,1.1924310815178111e-17,4.341154919996174e-18
69,3.9964304019819634e-16,6.526666145315423,1.3257987914826143e-14,-1.0101379994245585e-16,-1.8095485953415004e-17
70,4.0017507126442563e-16,6.535354872001349,1.0694020149361269e-14,-9.664455345758435e-17,-1.1037856734876974e-17
71,-4.001750712644237e-16,6.535354872001318,1.1192650246382902e-14,3.761445678651773e-16,1.3545206359493527e-16
72,3.903492191614419e-16,6.374886529458424,1.0779559744903723e-14,1.1044449364359021e-17,-2.1914562142816366e-18
73,3.9631500536107486e-16,6.472315211814619,1.1449268825051908e-14,-9.743623323923601e-17,-7.883737182555192e-18
74,3.9580406983426466e-16,6.463971001432231,8.291631773044812e-15,1.5006100251009003e-17,3.025094085555143e-17
75,0.0006578601442985753,6.458250566752692,7.573954855814936e-15,-2.479880337015309e-06,-0.00013228329356552705
76,-0.0006578601442971409,6.458250566752688,7.859087212252972e-15,2.4798803369499318e-06,0.0001322832935653985
77,3.925450378257319e-16,6.410746969641158,9.208887563075754e-15,1.0759412726933277e-17,-1.2591367894794295e-17
78,-3.9277952711677643e-16,6.414576470378967,1.0563492175324217e-14,-1.0737897585373602e-17,-6.414206506359999e-18
79,-3.948984760492407e-16,6.449181532572239,8.647319729957505e-15,-1.0625286145680446e-17,1.2169907203099187e-18
80,3.945025423303893e-16,6.442715444241676,1.2324340446783376e-14,-1.4503387600654353e-16,-5.787239301146718e-17
81,3.937991567160536e-16,6.431228285416365,1.4305643460086853e-14,-1.1194773550779495e-16,-2.8537279446163057e-17
82,1.823766900151013e-15,6.438105652784913,1.0986725930548845e-14,-5.858684266186502e-16,-2.5733121322473705e-17
83,-3.9389888696114135e-16,6.432857003919646,1.2055613477166537e-14,3.061312596648602e-16,-1.8577126599181315e-17
84,-1.8222800789356977e-15,6.432857003919638,1.2198986644294654e-14,1.1082172506060584e-15,4.538538056660102e-16
85,0.00065786014434733,6.458250566752673,9.331893675282763e-15,-2.4798803398846502e-06,-0.00013228329357608116
86,-0.000657860144348765,6.458250566752682,7.093938410507272e-15,2.479880339831199e-06,0.00013228329357589314
87,3.903492191614411e-16,6.374886529458411,9.499215007675493e-15,9.857557681908734e-18,8.196499602563449e-18
88,3.88741606344396e-16,6.348632219755983,9.393950149659828e-15,-1.0529695457259372e-16,-4.892741510459824e-18
89,3.890111932092597e-16,6.353034907372549,1.3532240577168888e-14,-9.052322949703986e-17,-1.0640205840557434e-17
90,3.8771853423256715e-16,6.331924184222126,1.3250555161973395e-14,-6.99716924895167e-17,-2.8399955894652704e-17
91,-3.8891018530206116e-16,6.351385323063525,1.0671051638917181e-14,3.6526601784447194e-16,2.0183948100122723e-17
92,3.88910185302063e-16,6.351385323063554,1.186105563369173e-14,-7.255176006411984e-17,1.7994367931470356e-17
93,-1.791217536281181e-15,6.32320267724151,1.0137086142225317e-14,4.657597685574761e-16,-1.4662867825587747e-17
94,-0.002339502579244058,6.303219871816368,9.46285073883497e-15,-1.0671843884976784e-05,-0.0002990384710029765
95,0.002339502579245457,6.303219871816366,9.785076918713462e-15,1.0671843885003563e-05,0.0002990384710028632
96,3.859267989366556e-16,6.302662926247027,8.083191071148695e-15,1.2926677828753519e-17,3.68986883418963e-18
97,3.848321300927219e-16,6.28478562734426,8.047857280981512e-15,1.3588885528327683e-17,1.5410686967228232e-18
98,3.8541105381310117e-16,6.294240169189016,9.440233112623516e-15,1.2233773313524206e-17,-6.99923312801816e-18
