wavelength_nm,order,slices,grid,epsilon_gold_real,epsilon_gold_imag,reflectance,transmittance_far,absorptance_total,motheye_absorptance,substrate_absorptance,power_into_substrate,passivity_warning,reduced_dimension,full_dimension,symmetry_reduction,symmetry_irrep,runtime_seconds
400.0,10,100,192,-1.0611633694991678,4.9206873818569425,9.449687667006523e-05,0.0,0.9999055031233299,0.9999055031233299,0.0,0.0,False,111,882,D6-E1-source-row,E1,40.887982432032004
550.0,10,100,192,-5.371371338856619,2.3581635829859637,0.03559773629518707,0.0,0.964402263704813,0.964402263704813,0.0,0.0,False,111,882,D6-E1-source-row,E1,41.21356802387163
700.0,10,100,192,-13.754263491271207,1.9104862668338753,0.5397245615850861,0.0,0.4602754384149139,0.4602754384149139,0.0,0.0,False,111,882,D6-E1-source-row,E1,41.15174940112047
